,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,yeoj1212,"2023-11-23 04:46:00",5,5,5,5,,48W,no,ph,no,,,"Rating Total: 194; No Stars: 1 reviews; *: 3 reviews; **: 5 reviews; ***: 19 reviews; ****: 166 reviews;  With Context: 48;  With Image: 25;  With Media: 26;  Local Review: 194; ",https://shopee.vn/shop/231675517,https://shopee.ph/p-i.57321494.25950917664,,
2,,geraldpogi23,"2023-11-24 22:41:59",5,5,5,5,,48W,no,ph,no,,,"Rating Total: 194; No Stars: 1 reviews; *: 3 reviews; **: 5 reviews; ***: 19 reviews; ****: 166 reviews;  With Context: 48;  With Image: 25;  With Media: 26;  Local Review: 194; ",https://shopee.vn/shop/261174154,https://shopee.ph/p-i.57321494.25950917664,,
3,,ralphandrew8,"2023-11-25 02:17:46",3,5,3,5,"The light is blinking",9W,no,ph,no,,,"Rating Total: 194; No Stars: 1 reviews; *: 3 reviews; **: 5 reviews; ***: 19 reviews; ****: 166 reviews;  With Context: 48;  With Image: 25;  With Media: 26;  Local Review: 194; ",https://shopee.vn/shop/82521908,https://shopee.ph/p-i.57321494.25950917664,,
4,,m*****3,"2023-11-25 06:10:57",5,5,5,5,,28W,no,ph,no,,,"Rating Total: 194; No Stars: 1 reviews; *: 3 reviews; **: 5 reviews; ***: 19 reviews; ****: 166 reviews;  With Context: 48;  With Image: 25;  With Media: 26;  Local Review: 194; ",https://shopee.vn/shop/274345900,https://shopee.ph/p-i.57321494.25950917664,,
5,,a*****n,"2023-11-25 06:44:49",5,5,5,5,"Quality:𝐨𝐤
Suitability:𝐨𝐤
Appearance:𝐨𝐤

𝐓𝐡𝐚𝐧𝐤𝐬 𝐬𝐞𝐥𝐥𝐞𝐫
https://cf.shopee.vn/file/ph-11134103-7r990-lohvp1z4835285
https://cf.shopee.vn/file/ph-11134103-7r990-lohvp1z4835285",18W,no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7r990-lohvp1z4835285,,"Rating Total: 194; No Stars: 1 reviews; *: 3 reviews; **: 5 reviews; ***: 19 reviews; ****: 166 reviews;  With Context: 48;  With Image: 25;  With Media: 26;  Local Review: 194; ",https://shopee.vn/shop/186546891,https://shopee.ph/p-i.57321494.25950917664,https://cf.shopee.vn/file/ph-11134103-7r990-lohvp1z4835285,
6,,mayflower53,"2023-11-25 07:28:48",4,4,4,3,,28W,no,ph,no,,,"Rating Total: 194; No Stars: 1 reviews; *: 3 reviews; **: 5 reviews; ***: 19 reviews; ****: 166 reviews;  With Context: 48;  With Image: 25;  With Media: 26;  Local Review: 194; ",https://shopee.vn/shop/258962516,https://shopee.ph/p-i.57321494.25950917664,,
7,,gvmalicdem,"2023-11-29 20:17:42",5,3,5,5,"Appearance:Good
Quality:Good
Suitability:Good

Great buys for home tools
https://cf.shopee.vn/file/ph-11134103-7r98w-loogxfdbdg9w23
https://cf.shopee.vn/file/ph-11134103-7r98v-loogxfdbeuuc12
https://cf.shopee.vn/file/ph-11134103-7r98r-loogxfdbg9escd
https://cf.shopee.vn/file/ph-11134103-7r98u-loogxfdbhnz83a
https://cf.shopee.vn/file/ph-11134103-7r990-loogxfdbj2jod0
https://cf.shopee.vn/file/ph-11134103-7r98w-loogxfdbdg9w23
https://cf.shopee.vn/file/ph-11134103-7r98v-loogxfdbeuuc12
https://cf.shopee.vn/file/ph-11134103-7r98r-loogxfdbg9escd
https://cf.shopee.vn/file/ph-11134103-7r98u-loogxfdbhnz83a
https://cf.shopee.vn/file/ph-11134103-7r990-loogxfdbj2jod0",9W,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r98w-loogxfdbdg9w23, https://cf.shopee.vn/file/ph-11134103-7r98v-loogxfdbeuuc12, https://cf.shopee.vn/file/ph-11134103-7r98r-loogxfdbg9escd, https://cf.shopee.vn/file/ph-11134103-7r98u-loogxfdbhnz83a, https://cf.shopee.vn/file/ph-11134103-7r990-loogxfdbj2jod0",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke17-looh4au50144bc.default.mp4,"Rating Total: 194; No Stars: 1 reviews; *: 3 reviews; **: 5 reviews; ***: 19 reviews; ****: 166 reviews;  With Context: 48;  With Image: 25;  With Media: 26;  Local Review: 194; ",https://shopee.vn/shop/222302673,https://shopee.ph/p-i.57321494.25950917664,"https://cf.shopee.vn/file/ph-11134103-7r98w-loogxfdbdg9w23,https://cf.shopee.vn/file/ph-11134103-7r98v-loogxfdbeuuc12,https://cf.shopee.vn/file/ph-11134103-7r98r-loogxfdbg9escd,https://cf.shopee.vn/file/ph-11134103-7r98u-loogxfdbhnz83a,https://cf.shopee.vn/file/ph-11134103-7r990-loogxfdbj2jod0",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke17-looh4au50144bc.default.mp4
8,,f*****6,"2023-11-30 02:56:32",5,5,5,5,,9W,no,ph,no,,,"Rating Total: 194; No Stars: 1 reviews; *: 3 reviews; **: 5 reviews; ***: 19 reviews; ****: 166 reviews;  With Context: 48;  With Image: 25;  With Media: 26;  Local Review: 194; ",https://shopee.vn/shop/306616433,https://shopee.ph/p-i.57321494.25950917664,,
9,,mariezelabad,"2023-11-30 09:33:51",5,5,5,5,,9W,no,ph,no,,,"Rating Total: 194; No Stars: 1 reviews; *: 3 reviews; **: 5 reviews; ***: 19 reviews; ****: 166 reviews;  With Context: 48;  With Image: 25;  With Media: 26;  Local Review: 194; ",https://shopee.vn/shop/186227154,https://shopee.ph/p-i.57321494.25950917664,,
10,,j*****b,"2023-12-04 12:08:34",5,5,5,5,,38W,no,ph,no,,,"Rating Total: 194; No Stars: 1 reviews; *: 3 reviews; **: 5 reviews; ***: 19 reviews; ****: 166 reviews;  With Context: 48;  With Image: 25;  With Media: 26;  Local Review: 194; ",https://shopee.vn/shop/100369922,https://shopee.ph/p-i.57321494.25950917664,,
