,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,j*****j,"2022-01-17 10:32:19",5,0,5,0,"Very nice. Bilis dumating. Very well packaged. What you see is what you get. Sana magamit ko at di masira agad. Salamat po ng marami.
https://cf.shopee.vn/file/a73ca81df8da89480493fec3160ce63e
https://cf.shopee.vn/file/a73ca81df8da89480493fec3160ce63e","RANDOM 1PCS",no,ph,yes,https://cf.shopee.vn/file/a73ca81df8da89480493fec3160ce63e,,"Rating Total: 1122; No Stars: 32 reviews; *: 8 reviews; **: 34 reviews; ***: 71 reviews; ****: 977 reviews;  With Context: 159;  With Image: 86;  With Media: 98;  Local Review: 1122; ",https://shopee.vn/shop/2750914,https://shopee.ph/p-i.74888525.15531317437,https://cf.shopee.vn/file/a73ca81df8da89480493fec3160ce63e,
2,,c*****n,"2022-01-19 07:14:13",5,0,5,0,"Ang bilis dumating ng order ko. Na received ko kaagad. The items are good. Thank you seller. Thank you sa nag deliver. Salamaaaaat Shopee 🙂
https://cf.shopee.vn/file/25092b21686986459d611105bc2d6a81
https://cf.shopee.vn/file/5f79017291f2ee4f2614c996a6eb3b6d
https://cf.shopee.vn/file/25092b21686986459d611105bc2d6a81
https://cf.shopee.vn/file/5f79017291f2ee4f2614c996a6eb3b6d","RANDOM 1PCS",no,ph,yes,"https://cf.shopee.vn/file/25092b21686986459d611105bc2d6a81, https://cf.shopee.vn/file/5f79017291f2ee4f2614c996a6eb3b6d",,"Rating Total: 1122; No Stars: 32 reviews; *: 8 reviews; **: 34 reviews; ***: 71 reviews; ****: 977 reviews;  With Context: 159;  With Image: 86;  With Media: 98;  Local Review: 1122; ",https://shopee.vn/shop/480325286,https://shopee.ph/p-i.74888525.15531317437,"https://cf.shopee.vn/file/25092b21686986459d611105bc2d6a81,https://cf.shopee.vn/file/5f79017291f2ee4f2614c996a6eb3b6d",
3,,hacch1,"2022-01-26 07:31:02",5,0,5,0,"Received all the items in good condition and complete! Thanks seller! You didnt disappoint me!❤️❤️❤️❤️","RANDOM 1PCS",no,ph,no,,,"Rating Total: 1122; No Stars: 32 reviews; *: 8 reviews; **: 34 reviews; ***: 71 reviews; ****: 977 reviews;  With Context: 159;  With Image: 86;  With Media: 98;  Local Review: 1122; ",https://shopee.vn/shop/273355665,https://shopee.ph/p-i.74888525.15531317437,,
4,,jeancarrenpao,"2022-01-27 03:20:25",3,0,3,0,"I ordered white but you send me pink. Thanks anyway...","RANDOM 1PCS",no,ph,no,,,"Rating Total: 1122; No Stars: 32 reviews; *: 8 reviews; **: 34 reviews; ***: 71 reviews; ****: 977 reviews;  With Context: 159;  With Image: 86;  With Media: 98;  Local Review: 1122; ",https://shopee.vn/shop/31954597,https://shopee.ph/p-i.74888525.15531317437,,
5,,missanamae,"2022-01-31 12:53:58",5,0,5,0,"ganda ng mga items. super sulit ng mga binili ko","RANDOM 1PCS",no,ph,no,,,"Rating Total: 1122; No Stars: 32 reviews; *: 8 reviews; **: 34 reviews; ***: 71 reviews; ****: 977 reviews;  With Context: 159;  With Image: 86;  With Media: 98;  Local Review: 1122; ",https://shopee.vn/shop/313780928,https://shopee.ph/p-i.74888525.15531317437,,
6,,suarezamery,"2022-01-31 22:41:50",5,0,5,0,"Random color ok sana kung iba iba hindi iisa
Pero ok lng.. Thank u seller..😊
https://cf.shopee.vn/file/ad09707b36359d2380b7f0dc6f663b93
https://cf.shopee.vn/file/ad09707b36359d2380b7f0dc6f663b93","RANDOM 1PCS",no,ph,yes,https://cf.shopee.vn/file/ad09707b36359d2380b7f0dc6f663b93,,"Rating Total: 1122; No Stars: 32 reviews; *: 8 reviews; **: 34 reviews; ***: 71 reviews; ****: 977 reviews;  With Context: 159;  With Image: 86;  With Media: 98;  Local Review: 1122; ",https://shopee.vn/shop/232904532,https://shopee.ph/p-i.74888525.15531317437,https://cf.shopee.vn/file/ad09707b36359d2380b7f0dc6f663b93,
7,,e*****n,"2022-02-16 08:42:06",5,0,5,0,"All items arrived complete, mabilis din shipping, very good quality products, i like it, will definitly order again, thank you seller!
https://cf.shopee.vn/file/b86abe75a1163950639d9009928e1e7e
https://cf.shopee.vn/file/b86abe75a1163950639d9009928e1e7e","RANDOM 1PCS",no,ph,yes,https://cf.shopee.vn/file/b86abe75a1163950639d9009928e1e7e,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_f1b88064-5a41-4da9-8df2-f3c8403a5590_000059.default.mp4,"Rating Total: 1122; No Stars: 32 reviews; *: 8 reviews; **: 34 reviews; ***: 71 reviews; ****: 977 reviews;  With Context: 159;  With Image: 86;  With Media: 98;  Local Review: 1122; ",https://shopee.vn/shop/206305731,https://shopee.ph/p-i.74888525.15531317437,https://cf.shopee.vn/file/b86abe75a1163950639d9009928e1e7e,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_f1b88064-5a41-4da9-8df2-f3c8403a5590_000059.default.mp4
8,,7*****t,"2022-02-22 12:31:33",5,0,5,0,"Ang cute mg item. Yung kulay tsaka shape .. Sana lang magtagal magamit lalo na sa cheap price nya. Thank you so much shopee, seller at kay kuya 😊
https://cf.shopee.vn/file/8bf7eceadca61c15b9441100a5503346
https://cf.shopee.vn/file/8bf7eceadca61c15b9441100a5503346","RANDOM 1PCS",no,ph,yes,https://cf.shopee.vn/file/8bf7eceadca61c15b9441100a5503346,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_12fe3304-71a2-440b-a5d4-ccd369f595e8_000059.default.mp4,"Rating Total: 1122; No Stars: 32 reviews; *: 8 reviews; **: 34 reviews; ***: 71 reviews; ****: 977 reviews;  With Context: 159;  With Image: 86;  With Media: 98;  Local Review: 1122; ",https://shopee.vn/shop/359897820,https://shopee.ph/p-i.74888525.15531317437,https://cf.shopee.vn/file/8bf7eceadca61c15b9441100a5503346,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_12fe3304-71a2-440b-a5d4-ccd369f595e8_000059.default.mp4
9,,g*****8,"2022-03-03 10:42:19",3,0,3,0,"Very useful item for my kitchen. Got this for a very cheap price. The problem is the adhesive. Not sticky/strong enough kahit magaan lang yung basagan.","RANDOM 1PCS",no,ph,no,,,"Rating Total: 1122; No Stars: 32 reviews; *: 8 reviews; **: 34 reviews; ***: 71 reviews; ****: 977 reviews;  With Context: 159;  With Image: 86;  With Media: 98;  Local Review: 1122; ",https://shopee.vn/shop/124820023,https://shopee.ph/p-i.74888525.15531317437,,
10,,a*****i,"2022-03-04 18:08:42",5,0,5,0,"Items were secured and arrived earlier.
Well - packed and complete...
Thank you seller and shopee....
Will order again! ☺️","RANDOM 1PCS",no,ph,yes,,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_83a1e8b6-265f-4658-8713-5ebfbaba9ef4_000061.default.mp4,"Rating Total: 1122; No Stars: 32 reviews; *: 8 reviews; **: 34 reviews; ***: 71 reviews; ****: 977 reviews;  With Context: 159;  With Image: 86;  With Media: 98;  Local Review: 1122; ",https://shopee.vn/shop/103122158,https://shopee.ph/p-i.74888525.15531317437,,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_83a1e8b6-265f-4658-8713-5ebfbaba9ef4_000061.default.mp4
