,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,j*****i,"2021-04-29 09:39:31",5,0,5,0,"Misting is strong. Small product but great quality. Thick quality plastic (looks like a glass-like). Great lights. 2 mist modes. Can work without lights on.

Been using this since yesterday. So far, so good. Downside, i think it doesnt work if unplugged. So its not rechargeable.",White,no,ph,yes,,https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph_5e2d6af3-d6bc-4185-a6a0-5cc5adf7407c_000014.default.mp4,"Rating Total: 1160; No Stars: 84 reviews; *: 33 reviews; **: 75 reviews; ***: 74 reviews; ****: 894 reviews;  With Context: 322;  With Image: 175;  With Media: 210;  Local Review: 1160; ",https://shopee.vn/shop/105055448,https://shopee.ph/p-i.88406198.9040830218,,https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph_5e2d6af3-d6bc-4185-a6a0-5cc5adf7407c_000014.default.mp4
2,,e*****5,"2021-05-10 08:10:34",5,0,5,0,"nice buy to these seller for good quality rate is 5 star",White,no,ph,no,,,"Rating Total: 1160; No Stars: 84 reviews; *: 33 reviews; **: 75 reviews; ***: 74 reviews; ****: 894 reviews;  With Context: 322;  With Image: 175;  With Media: 210;  Local Review: 1160; ",https://shopee.vn/shop/282541040,https://shopee.ph/p-i.88406198.9040830218,,
3,,jennsamodioromano,"2021-06-24 01:53:30",5,0,5,0,"Ang ganda nya.. 9cm ung height nya,Ok na ok.. Sana lang magtagal xa.. Updateako if kelan xa masira... Hehehhehe.. But overall.. Satisfied customer here,ito rin ung nakita kung mura pero ganito kaganda ung design.. Nakaka sosyal... Salamat seller..Sa uulitin
Note:may free cotton pa xa kasama sa box😍
https://cf.shopee.vn/file/0b092384d3dedda07545563cbb6ea934
https://cf.shopee.vn/file/02ea3c705947d061453516f8f2e3d4f9
https://cf.shopee.vn/file/a785ec1f831c01cf89e1d86000e312fb
https://cf.shopee.vn/file/93cf1e4bcdf25c3c09d87c063fa99b10
https://cf.shopee.vn/file/0b092384d3dedda07545563cbb6ea934
https://cf.shopee.vn/file/02ea3c705947d061453516f8f2e3d4f9
https://cf.shopee.vn/file/a785ec1f831c01cf89e1d86000e312fb
https://cf.shopee.vn/file/93cf1e4bcdf25c3c09d87c063fa99b10","JB083 Black",no,ph,yes,"https://cf.shopee.vn/file/0b092384d3dedda07545563cbb6ea934, https://cf.shopee.vn/file/02ea3c705947d061453516f8f2e3d4f9, https://cf.shopee.vn/file/a785ec1f831c01cf89e1d86000e312fb, https://cf.shopee.vn/file/93cf1e4bcdf25c3c09d87c063fa99b10",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph_b9f589e0-68d9-440d-95aa-1aea16ff19e9_000020.default.mp4,"Rating Total: 1160; No Stars: 84 reviews; *: 33 reviews; **: 75 reviews; ***: 74 reviews; ****: 894 reviews;  With Context: 322;  With Image: 175;  With Media: 210;  Local Review: 1160; ",https://shopee.vn/shop/36372748,https://shopee.ph/p-i.88406198.9040830218,"https://cf.shopee.vn/file/0b092384d3dedda07545563cbb6ea934,https://cf.shopee.vn/file/02ea3c705947d061453516f8f2e3d4f9,https://cf.shopee.vn/file/a785ec1f831c01cf89e1d86000e312fb,https://cf.shopee.vn/file/93cf1e4bcdf25c3c09d87c063fa99b10",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph_b9f589e0-68d9-440d-95aa-1aea16ff19e9_000020.default.mp4
4,,j*****i,"2021-07-22 09:42:00",5,0,5,0,"Working as promised. 
Shipped immediately considering it came from overseas. 
Well packaged. 
Might order again. 
Thanks seller!
https://cf.shopee.vn/file/91f5cbf5a6441111d0b68f0aa7aa03bb
https://cf.shopee.vn/file/91f5cbf5a6441111d0b68f0aa7aa03bb","JB083 White",no,ph,yes,https://cf.shopee.vn/file/91f5cbf5a6441111d0b68f0aa7aa03bb,https://play-aka.vod.shopee.com/c3/98934353/10321072217/YzQsMTc3LTQxNDk3LDE0MTgxNDQyMjUxODc0MjIyMDgsMw.mp4,"Rating Total: 1160; No Stars: 84 reviews; *: 33 reviews; **: 75 reviews; ***: 74 reviews; ****: 894 reviews;  With Context: 322;  With Image: 175;  With Media: 210;  Local Review: 1160; ",https://shopee.vn/shop/89868598,https://shopee.ph/p-i.88406198.9040830218,https://cf.shopee.vn/file/91f5cbf5a6441111d0b68f0aa7aa03bb,https://play-aka.vod.shopee.com/c3/98934353/10321072217/YzQsMTc3LTQxNDk3LDE0MTgxNDQyMjUxODc0MjIyMDgsMw.mp4
5,,c*****6,"2021-07-28 06:31:03",3,0,3,0,"ndi maayos pagkakapackage, manipis bubble wrap kya sira ung pinakabox nya.. walang english instruction manual..","JB083 Black",no,ph,no,,,"Rating Total: 1160; No Stars: 84 reviews; *: 33 reviews; **: 75 reviews; ***: 74 reviews; ****: 894 reviews;  With Context: 322;  With Image: 175;  With Media: 210;  Local Review: 1160; ",https://shopee.vn/shop/56454375,https://shopee.ph/p-i.88406198.9040830218,,
6,,goodcook05,"2021-08-08 07:17:57",5,0,5,0,"Bakit d umiilaw... huhu pero ok naman ung humidifier.. nag work naman kaso wala ilaw... mabilis din na ship...
https://cf.shopee.vn/file/2b2b8ed04a57954b927e6ed8a9286a29
https://cf.shopee.vn/file/2b2b8ed04a57954b927e6ed8a9286a29","JB083 Black",no,ph,yes,https://cf.shopee.vn/file/2b2b8ed04a57954b927e6ed8a9286a29,,"Rating Total: 1160; No Stars: 84 reviews; *: 33 reviews; **: 75 reviews; ***: 74 reviews; ****: 894 reviews;  With Context: 322;  With Image: 175;  With Media: 210;  Local Review: 1160; ",https://shopee.vn/shop/275577472,https://shopee.ph/p-i.88406198.9040830218,https://cf.shopee.vn/file/2b2b8ed04a57954b927e6ed8a9286a29,
7,,jessemarquez04,"2021-08-09 11:04:10",5,0,5,0,"This is small, I expected it to be bigger but it's a nice item and it works really well. Thanks seller!
https://cf.shopee.vn/file/e42ceb999b80ddeb8bb8ec30a26c84f5
https://cf.shopee.vn/file/923f1678757b079ffb3176218328481b
https://cf.shopee.vn/file/e42ceb999b80ddeb8bb8ec30a26c84f5
https://cf.shopee.vn/file/923f1678757b079ffb3176218328481b","JB083 Black",no,ph,yes,"https://cf.shopee.vn/file/e42ceb999b80ddeb8bb8ec30a26c84f5, https://cf.shopee.vn/file/923f1678757b079ffb3176218328481b",,"Rating Total: 1160; No Stars: 84 reviews; *: 33 reviews; **: 75 reviews; ***: 74 reviews; ****: 894 reviews;  With Context: 322;  With Image: 175;  With Media: 210;  Local Review: 1160; ",https://shopee.vn/shop/89795268,https://shopee.ph/p-i.88406198.9040830218,"https://cf.shopee.vn/file/e42ceb999b80ddeb8bb8ec30a26c84f5,https://cf.shopee.vn/file/923f1678757b079ffb3176218328481b",
8,,r*****v,"2021-08-10 04:07:16",5,0,5,0,"Ang ganda nya cute cute pa 😂 malakas din sya mag mist satisfied ako sa product till next order again ang bilis ng shipping ☺️👍
https://cf.shopee.vn/file/c114917f2703a668967c1221127dd703
https://cf.shopee.vn/file/dada74753b918448053ead4ed9b3773d
https://cf.shopee.vn/file/cd498d4530cd5327f08de615c502600b
https://cf.shopee.vn/file/aad34708b738f9cadde6cf0b9b8957a3
https://cf.shopee.vn/file/c114917f2703a668967c1221127dd703
https://cf.shopee.vn/file/dada74753b918448053ead4ed9b3773d
https://cf.shopee.vn/file/cd498d4530cd5327f08de615c502600b
https://cf.shopee.vn/file/aad34708b738f9cadde6cf0b9b8957a3","JB083 White",no,ph,yes,"https://cf.shopee.vn/file/c114917f2703a668967c1221127dd703, https://cf.shopee.vn/file/dada74753b918448053ead4ed9b3773d, https://cf.shopee.vn/file/cd498d4530cd5327f08de615c502600b, https://cf.shopee.vn/file/aad34708b738f9cadde6cf0b9b8957a3",https://down-tx-sg.vod.susercontent.com/c3/98934353/103/YzQsMTYwLTQ0MzQxLDE0MjQ5NDUzNDIwOTc0ODE3MjgsMw.mp4,"Rating Total: 1160; No Stars: 84 reviews; *: 33 reviews; **: 75 reviews; ***: 74 reviews; ****: 894 reviews;  With Context: 322;  With Image: 175;  With Media: 210;  Local Review: 1160; ",https://shopee.vn/shop/193238969,https://shopee.ph/p-i.88406198.9040830218,"https://cf.shopee.vn/file/c114917f2703a668967c1221127dd703,https://cf.shopee.vn/file/dada74753b918448053ead4ed9b3773d,https://cf.shopee.vn/file/cd498d4530cd5327f08de615c502600b,https://cf.shopee.vn/file/aad34708b738f9cadde6cf0b9b8957a3",https://down-tx-sg.vod.susercontent.com/c3/98934353/103/YzQsMTYwLTQ0MzQxLDE0MjQ5NDUzNDIwOTc0ODE3MjgsMw.mp4
9,,s*****1,"2021-08-12 21:19:32",5,0,5,0,"Fast delivery and well-packaged as requested !!!!!! The item is good and working . Also, it so classy that fits in your room . Definitely will order again if I'll need another one. Thank youuuuuuu","JB083 Black",no,ph,no,,,"Rating Total: 1160; No Stars: 84 reviews; *: 33 reviews; **: 75 reviews; ***: 74 reviews; ****: 894 reviews;  With Context: 322;  With Image: 175;  With Media: 210;  Local Review: 1160; ",https://shopee.vn/shop/155887588,https://shopee.ph/p-i.88406198.9040830218,,
10,,ainuelan06,"2021-08-17 10:42:41",1,2,1,2,"Item is not working . It’s just keep on charging but there’s no steam coming out from humidifier!!!😡😡😡😡
https://cf.shopee.vn/file/05909a6b6fd825301f2e4345d3645c11
https://cf.shopee.vn/file/05909a6b6fd825301f2e4345d3645c11","H02 White",no,ph,yes,https://cf.shopee.vn/file/05909a6b6fd825301f2e4345d3645c11,,"Rating Total: 1160; No Stars: 84 reviews; *: 33 reviews; **: 75 reviews; ***: 74 reviews; ****: 894 reviews;  With Context: 322;  With Image: 175;  With Media: 210;  Local Review: 1160; ",https://shopee.vn/shop/501117084,https://shopee.ph/p-i.88406198.9040830218,https://cf.shopee.vn/file/05909a6b6fd825301f2e4345d3645c11,
