ExportComments.com,,,,,,,,,,,,,,,
Source URL,https://shopee.ph/Anta-Men-Kt-Fly-Klay-Thompson-Shoes-Basketball-Shoes-112321606-i.960701811.16594271766?publish_id=&sp_atk=3f8003e7-ca93-45d4-9466-dac55e080a1b&xptdk=3f8003e7-ca93-45d4-9466-dac55e080a1b,,,,,,,,,,,,,,
Timezone,UTC,,,,,,,,,,,,,,
Summary,Rating Total: 2074; No Stars: 3 reviews; *: 8 reviews; **: 16 reviews; ***: 98 reviews; ****: 1949 reviews;  With Context: 642;  With Image: 518;  With Media: 544;  Local Review: 2054;  Overall Fit Small: 1;  Overall Fit Fit: 87;  Oversea Review: 20; ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Author,Date,Rating,Rating Delivery Service,Rating Product Quality,Rating Seller Service,Review,Version,Oversea Shopping,Region,Picture included,Photos,Videos,(view source)
1,,cedricvillafuerte,11/05/23,5,5,5,5,"Suitability:10
Appearance:10
Quality:10

Sobrang ganda ng item 🫶🏻 will buy again next time 👌
https://cf.shopee.vn/file/ph-11134103-7qukx-lgnfmhmga8io44
https://cf.shopee.vn/file/ph-11134103-7qul8-lgnfmho47stc90
https://cf.shopee.vn/file/ph-11134103-7qul8-lgnfmho4n928e4
https://cf.shopee.vn/file/ph-11134103-7qul4-lgnfmhmga8yu87
https://cf.shopee.vn/file/ph-11134103-7qul2-lgnfmho47t9id1","blue/waterfall-2,8/41",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qukx-lgnfmhmga8io44, https://cf.shopee.vn/file/ph-11134103-7qul8-lgnfmho47stc90, https://cf.shopee.vn/file/ph-11134103-7qul8-lgnfmho4n928e4, https://cf.shopee.vn/file/ph-11134103-7qul4-lgnfmhmga8yu87, https://cf.shopee.vn/file/ph-11134103-7qul2-lgnfmho47t9id1",,view review
2,,leebogssy,12/05/23,4,5,4,5,"Suitability:10/10
Quality:10/10
Appearance:10/10

Destroyed box,

note: box is also important
https://cf.shopee.vn/file/ph-11134103-7qul8-lgor8b3zhequ6b
https://cf.shopee.vn/file/ph-11134103-7qul2-lgor8b3zwujkf7
https://cf.shopee.vn/file/ph-11134103-7qul1-lgor8b53frtsd7","white/blue-1,8.5/42",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul8-lgor8b3zhequ6b, https://cf.shopee.vn/file/ph-11134103-7qul2-lgor8b3zwujkf7, https://cf.shopee.vn/file/ph-11134103-7qul1-lgor8b53frtsd7",,view review
3,,xandercraigestellore,13/05/23,5,5,5,5,"Quality:legit 💯nice ang gaan
Suitability:spikey ang sulit
Appearance:very very nice
https://cf.shopee.vn/file/ph-11134103-7qukz-lgqjl86eud4606
https://cf.shopee.vn/file/ph-11134103-7qul1-lgqjlj3afysmaf
https://cf.shopee.vn/file/ph-11134103-7qul7-lgqjlj3kfjq895","blue/waterfall-2,9/42.5",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qukz-lgqjl86eud4606, https://cf.shopee.vn/file/ph-11134103-7qul1-lgqjlj3afysmaf, https://cf.shopee.vn/file/ph-11134103-7qul7-lgqjlj3kfjq895",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnn-lgqjmnyymcpy63.16000051683980393.mp4,view review
4,,afrte,17/05/23,5,5,5,5,"Appearance:HIGH QUALITY
Quality:10/10
Suitability:GOODS

ANG GANDA . TRUE TO SIZE
https://cf.shopee.vn/file/ph-11134103-7qukx-lgvwrpkktxpi99
https://cf.shopee.vn/file/ph-11134103-7qul2-lgvwrpj6vycg50
https://cf.shopee.vn/file/ph-11134103-7qul2-lgvwrpiwwdeu87
https://cf.shopee.vn/file/ph-11134103-7qul1-lgvwrpj7belc0f","white/blue-1,9/42.5",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qukx-lgvwrpkktxpi99, https://cf.shopee.vn/file/ph-11134103-7qul2-lgvwrpj6vycg50, https://cf.shopee.vn/file/ph-11134103-7qul2-lgvwrpiwwdeu87, https://cf.shopee.vn/file/ph-11134103-7qul1-lgvwrpj7belc0f",,view review
5,,p*****6,19/05/23,5,5,5,5,"Appearance:astig
Quality:good

Thank you po seller mabilis ang ship out. Very accommodating si seller at makaabot sa flight ✈️ ko. Ang sarap po sa paa very comfortable. Salamat po. Until next transaction. Si kuya rider shout out sayo.
https://cf.shopee.vn/file/ph-11134103-7qukx-lgz4c1obhs6e27
https://cf.shopee.vn/file/ph-11134103-7quky-lgz4c1obhrq8d0","blue/waterfall-2,7/40",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qukx-lgz4c1obhs6e27, https://cf.shopee.vn/file/ph-11134103-7quky-lgz4c1obhrq8d0",,view review
6,,johnb26,19/05/23,5,5,5,5,"Quality:10/10
Appearance:10/10
Suitability:10/10

Legit !! 10days na pag aantay !! Dumating din. napaka kapit nya sa tiles sinubukan ko matunog din at malambot . Diko pa nasusubukan sa mismong court.  Pero tingin ko maganda to. ❤️
https://cf.shopee.vn/file/ph-11134103-7qul3-lgz63gpgjwyob8
https://cf.shopee.vn/file/ph-11134103-7qul6-lgz63qha92p2d7
https://cf.shopee.vn/file/ph-11134103-7qul4-lgz63y4t1va8c5
https://cf.shopee.vn/file/ph-11134103-7qul5-lgz6450azp462f","white/green/yellow-5,9.5/43",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul3-lgz63gpgjwyob8, https://cf.shopee.vn/file/ph-11134103-7qul6-lgz63qha92p2d7, https://cf.shopee.vn/file/ph-11134103-7qul4-lgz63y4t1va8c5, https://cf.shopee.vn/file/ph-11134103-7qul5-lgz6450azp462f",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrno-lgz64obcqkdcce.16000461684502496.mp4,view review
7,,raymoned101,25/05/23,5,5,5,5,"Appearance:Maganda
Quality:Very high quality material
Suitability:To be observed

True to size talaga. Maganda at sana mag tagal. Nagustohan ko
https://cf.shopee.vn/file/ph-11134103-7qula-lh713ixyrjj42f
https://cf.shopee.vn/file/ph-11134103-7qula-lh713ixysy3kb0","white/green/yellow-5,10.5/44.5",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qula-lh713ixyrjj42f, https://cf.shopee.vn/file/ph-11134103-7qula-lh713ixysy3kb0",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnl-lh7176lw1ucmd7.12000461684978486.mp4,view review
8,,jhezlorico,27/05/23,5,5,5,5,"Quality:Great!
Appearance:Great!
Suitability:Great!

Sulit! Quality is superb. Atpar with leading brands. Super underrated ang quality and design ng mga shoes ni Anta. Thanks!
https://cf.shopee.vn/file/ph-11134103-7qukz-lh9zhjjv5hpia8","blue/waterfall-2,8/41",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qukz-lh9zhjjv5hpia8,https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnl-lh9zi2adqen4a1.16000461685157232.mp4,view review
9,,milescielo,28/05/23,5,5,5,5,"Appearance:10/10
Suitability:10/10
Quality:10/10

This is a very good shoe for basketball players who want to move freely. It has excellent traction, comfortable and strong fit, and is best for playing outdoors because of its hard sole. If you like wearing Kobe's, you should try this one. 

Legit, 100% original. 👟👟
https://cf.shopee.vn/file/ph-11134103-7qul8-lhbzb5yebqn429
https://cf.shopee.vn/file/ph-11134103-7qul4-lhbzb5v2gm1sa9
https://cf.shopee.vn/file/ph-11134103-7qul7-lhbzb5ft2y00f5
https://cf.shopee.vn/file/ph-11134103-7qul6-lhbzb559idwma6
https://cf.shopee.vn/file/ph-11134103-7qul0-lhbzb559jsh266","white/blue-1,9.5/43",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul8-lhbzb5yebqn429, https://cf.shopee.vn/file/ph-11134103-7qul4-lhbzb5v2gm1sa9, https://cf.shopee.vn/file/ph-11134103-7qul7-lhbzb5ft2y00f5, https://cf.shopee.vn/file/ph-11134103-7qul6-lhbzb559idwma6, https://cf.shopee.vn/file/ph-11134103-7qul0-lhbzb559jsh266",,view review
10,,m*****o,28/05/23,5,5,5,5,"Appearance:very nice
Quality:high quality materials

Thank you seller and shopee…
https://cf.shopee.vn/file/ph-11134103-7quky-lhc16uy64bkw66
https://cf.shopee.vn/file/ph-11134103-7qul2-lhc16uy65q5cdc","blue/waterfall-2,8/41",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7quky-lhc16uy64bkw66, https://cf.shopee.vn/file/ph-11134103-7qul2-lhc16uy65q5cdc",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrno-lhc1fe5miqowdf.16000461685281539.mp4,view review
