,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,phengjavier0129,"2023-05-22 06:10:16",5,5,5,5,"no damage👍
complete👍
thank u🥰
https://cf.shopee.vn/file/ph-11134103-7qul6-lh30m5ao0z3402
https://cf.shopee.vn/file/ph-11134103-7qul6-lh30m5ao0z3402","Sakura Eye Mask",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qul6-lh30m5ao0z3402,,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/86049388,https://shopee.ph/p-i.267035518.17197394377,https://cf.shopee.vn/file/ph-11134103-7qul6-lh30m5ao0z3402,
2,,b*****p,"2023-06-13 10:26:14",5,3,5,5,"Beauty Profile:9/10
Packaging:9/10

Not yet tried but ang bango.  Worth the price. Dumaying sa akin na mainit.  Yung rider ata pina initan yung package
https://cf.shopee.vn/file/ph-11134103-7quky-lhyo6gffzrpl6e
https://cf.shopee.vn/file/ph-11134103-7quky-lhyo6ghdwxe122
https://cf.shopee.vn/file/ph-11134103-7quky-lhyo6gffzrpl6e
https://cf.shopee.vn/file/ph-11134103-7quky-lhyo6ghdwxe122","Sakura Eye Mask",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7quky-lhyo6gffzrpl6e, https://cf.shopee.vn/file/ph-11134103-7quky-lhyo6ghdwxe122",,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/128848735,https://shopee.ph/p-i.267035518.17197394377,"https://cf.shopee.vn/file/ph-11134103-7quky-lhyo6gffzrpl6e,https://cf.shopee.vn/file/ph-11134103-7quky-lhyo6ghdwxe122",
3,,charmainebeadnes,"2023-06-21 22:22:22",4,5,4,4,"mali ang isang product na deniliver","Sakura Eye Mask",no,ph,no,,,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/434034809,https://shopee.ph/p-i.267035518.17197394377,,
4,,a*****l,"2023-07-12 06:49:17",5,5,5,5,"Nice one thank you seller til next transaction 🥰
https://cf.shopee.vn/file/ph-11134103-7qul1-lj3jp8fg50xy50
https://cf.shopee.vn/file/ph-11134103-7qul3-lj3jp8fg6fie4f
https://cf.shopee.vn/file/ph-11134103-7qul1-lj3jp8fg50xy50
https://cf.shopee.vn/file/ph-11134103-7qul3-lj3jp8fg6fie4f","Sakura Eye Mask",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7qul1-lj3jp8fg50xy50, https://cf.shopee.vn/file/ph-11134103-7qul3-lj3jp8fg6fie4f",,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/147787313,https://shopee.ph/p-i.267035518.17197394377,"https://cf.shopee.vn/file/ph-11134103-7qul1-lj3jp8fg50xy50,https://cf.shopee.vn/file/ph-11134103-7qul3-lj3jp8fg6fie4f",
5,,audrymgpyo,"2023-07-18 09:20:50",2,3,2,3,"
https://cf.shopee.vn/file/ph-11134103-7qul0-ljckfp015p8m07
https://cf.shopee.vn/file/ph-11134103-7qul0-ljckfp015p8m07","Sakura Eye Mask",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qul0-ljckfp015p8m07,,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/822035318,https://shopee.ph/p-i.267035518.17197394377,https://cf.shopee.vn/file/ph-11134103-7qul0-ljckfp015p8m07,
6,,bernadethvillanueva518,"2023-07-26 11:31:21",4,5,4,4,"Effective. Promise","Sakura Eye Mask",no,ph,no,,,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/954534984,https://shopee.ph/p-i.267035518.17197394377,,
7,,smokey70,"2023-08-09 05:42:47",5,5,5,5,"Fragrance:ok
Texture:ok
Effectiveness:ok

Thank you din sa rider at natanggap ko ng walang nabasag o nasira sa mga na orders ko - fast ship out dito and nice mga items nila","Sakura Eye Mask",no,ph,no,,,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/500617907,https://shopee.ph/p-i.267035518.17197394377,,
8,,mihomelo647,"2023-08-09 12:26:55",5,5,5,5,"Usage Experience:very good
Fragrance:ok","Sakura Eye Mask",no,ph,no,,,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/935214771,https://shopee.ph/p-i.267035518.17197394377,,
9,,cherrylleensalem,"2023-08-09 17:17:22",5,5,5,5,"Packaging:good packaging
Beauty Profile:absolutely good for the skin
Benefits:ang bilis mag subside ng eyebugs

yung black circle around the eyes parang nawawala na at ang eyebugs mabilis mawala,presko sa mata
https://cf.shopee.vn/file/ph-11134103-7qul3-lk8fna8n1gmkdd
https://cf.shopee.vn/file/ph-11134103-7qul3-lk8fna8n1gmkdd","Aloe Vera Eye mask",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qul3-lk8fna8n1gmkdd,,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/63756038,https://shopee.ph/p-i.267035518.17197394377,https://cf.shopee.vn/file/ph-11134103-7qul3-lk8fna8n1gmkdd,
10,,dandsskincareshop,"2023-08-13 04:08:29",5,5,5,5,,"Sakura Eye Mask",no,ph,no,,,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/116635246,https://shopee.ph/p-i.267035518.17197394377,,
11,,xuerto,"2023-08-13 16:31:50",5,5,5,5,"User Tips:Not yet
Usage Experience:Not Yet
Packaging:10/10","Sakura Eye Mask",no,ph,no,,,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/478852144,https://shopee.ph/p-i.267035518.17197394377,,
12,,cindygarciapineda,"2023-08-19 02:00:11",5,5,5,5,"Received the products within the given time frame. No damage and well packed. Seller is responsive to queries. Thank you
https://cf.shopee.vn/file/ph-11134103-7r98o-lklsvjumb9dta0
https://cf.shopee.vn/file/ph-11134103-7r98o-lklsvjumb9dta0","Sakura Eye Mask",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7r98o-lklsvjumb9dta0,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke14-lklsxtyg1jxy06.default.mp4,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/121708849,https://shopee.ph/p-i.267035518.17197394377,https://cf.shopee.vn/file/ph-11134103-7r98o-lklsvjumb9dta0,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke14-lklsxtyg1jxy06.default.mp4
13,,miyu1201,"2023-08-30 12:01:08",5,5,5,5,,"Sakura Eye Mask",no,ph,no,,,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/227575943,https://shopee.ph/p-i.267035518.17197394377,,
14,,almajaneflores,"2023-09-05 12:50:08",3,3,3,3,"Fragrance:ewan
Effectiveness:OK nman
Texture:jelly

Parang jelatin ang textere at madulas Pa pag bago pero pagkatapos namamaga lumiliit nalang siya at manipis mejo effective naman siya para skin
https://cf.shopee.vn/file/ph-11134103-7r98o-llapcbp9j6bnc5
https://cf.shopee.vn/file/ph-11134103-7r98u-llapd57ocgaa1b
https://cf.shopee.vn/file/ph-11134103-7r98o-llapcbp9j6bnc5
https://cf.shopee.vn/file/ph-11134103-7r98u-llapd57ocgaa1b","Sakura Eye Mask",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r98o-llapcbp9j6bnc5, https://cf.shopee.vn/file/ph-11134103-7r98u-llapd57ocgaa1b",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke15-llapjyc5mw6qa2.default.mp4,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/58013224,https://shopee.ph/p-i.267035518.17197394377,"https://cf.shopee.vn/file/ph-11134103-7r98o-llapcbp9j6bnc5,https://cf.shopee.vn/file/ph-11134103-7r98u-llapd57ocgaa1b",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke15-llapjyc5mw6qa2.default.mp4
15,,cathyrinelauron492,"2023-09-07 15:22:04",5,5,5,5,"
https://cf.shopee.vn/file/ph-11134103-7r991-lldpv4jstt9uad
https://cf.shopee.vn/file/ph-11134103-7r98q-lldpv4l6rsn76c
https://cf.shopee.vn/file/ph-11134103-7r991-lldpv4jstt9uad
https://cf.shopee.vn/file/ph-11134103-7r98q-lldpv4l6rsn76c","Sakura Eye Mask",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r991-lldpv4jstt9uad, https://cf.shopee.vn/file/ph-11134103-7r98q-lldpv4l6rsn76c",,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/994560271,https://shopee.ph/p-i.267035518.17197394377,"https://cf.shopee.vn/file/ph-11134103-7r991-lldpv4jstt9uad,https://cf.shopee.vn/file/ph-11134103-7r98q-lldpv4l6rsn76c",
16,,harvey18_,"2023-09-08 04:49:20",5,5,5,5,"Perfect 👍👍👍","Aloe Vera Eye mask",no,ph,no,,,"Rating Total: 424; No Stars: 7 reviews; *: 4 reviews; **: 18 reviews; ***: 45 reviews; ****: 350 reviews;  With Context: 101;  With Image: 54;  With Media: 55;  Local Review: 424; ",https://shopee.vn/shop/400687726,https://shopee.ph/p-i.267035518.17197394377,,
