,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,g*****g,"2020-10-25 06:25:29",5,0,5,0,"Sa sling bag ok sya tma nmn kulay magnda din sya mukhang mtibay namn thanks seller 👍😊. Cute2 ng bag😊😁👍.. Thanks din kay kuya rider
https://cf.shopee.vn/file/ac2f553afa65ba959695491656c3bf94
https://cf.shopee.vn/file/2106ecdfe70332145c625924eef43cf1
https://cf.shopee.vn/file/95ef9ae20d4caa13f4274765aba6e4ff
https://cf.shopee.vn/file/ac2f553afa65ba959695491656c3bf94
https://cf.shopee.vn/file/2106ecdfe70332145c625924eef43cf1
https://cf.shopee.vn/file/95ef9ae20d4caa13f4274765aba6e4ff",RED,no,ph,yes,"https://cf.shopee.vn/file/ac2f553afa65ba959695491656c3bf94, https://cf.shopee.vn/file/2106ecdfe70332145c625924eef43cf1, https://cf.shopee.vn/file/95ef9ae20d4caa13f4274765aba6e4ff",,"Rating Total: 1958; No Stars: 39 reviews; *: 29 reviews; **: 99 reviews; ***: 176 reviews; ****: 1615 reviews;  With Context: 436;  With Image: 196;  With Media: 202;  Local Review: 1958; ",https://shopee.vn/shop/111177213,https://shopee.ph/p-i.34273908.5016679590,"https://cf.shopee.vn/file/ac2f553afa65ba959695491656c3bf94,https://cf.shopee.vn/file/2106ecdfe70332145c625924eef43cf1,https://cf.shopee.vn/file/95ef9ae20d4caa13f4274765aba6e4ff",
2,,l*****d,"2020-12-07 08:11:05",5,0,5,0,"Maganda and worth the price. Medyo maiksi lang ang tali pero tamang color din naman ang naisend. Sana matibay at tumagal. Thank you seller
https://cf.shopee.vn/file/656bdf2254e90cf04992e536d524a51a
https://cf.shopee.vn/file/656bdf2254e90cf04992e536d524a51a",PINK,no,ph,yes,https://cf.shopee.vn/file/656bdf2254e90cf04992e536d524a51a,,"Rating Total: 1958; No Stars: 39 reviews; *: 29 reviews; **: 99 reviews; ***: 176 reviews; ****: 1615 reviews;  With Context: 436;  With Image: 196;  With Media: 202;  Local Review: 1958; ",https://shopee.vn/shop/223523536,https://shopee.ph/p-i.34273908.5016679590,https://cf.shopee.vn/file/656bdf2254e90cf04992e536d524a51a,
3,,chloecubio,"2021-02-12 14:36:35",4,0,4,0,"Nice quality!👍 8 by 9 inches ang size and maluwag sa loob! Kaso ibang color yung nadeliver sakin, instead of color brown, red ang dumating. Almost 2 weeks ang delivery masyadong matagal.
https://cf.shopee.vn/file/912ad3a84fcb6eb6249a8a26feac6aa7
https://cf.shopee.vn/file/06ee4b194005fa518d0294c4cb14d498
https://cf.shopee.vn/file/8886839f37ad8ce02defbd54afdcc418
https://cf.shopee.vn/file/912ad3a84fcb6eb6249a8a26feac6aa7
https://cf.shopee.vn/file/06ee4b194005fa518d0294c4cb14d498
https://cf.shopee.vn/file/8886839f37ad8ce02defbd54afdcc418","BROWN ",no,ph,yes,"https://cf.shopee.vn/file/912ad3a84fcb6eb6249a8a26feac6aa7, https://cf.shopee.vn/file/06ee4b194005fa518d0294c4cb14d498, https://cf.shopee.vn/file/8886839f37ad8ce02defbd54afdcc418",,"Rating Total: 1958; No Stars: 39 reviews; *: 29 reviews; **: 99 reviews; ***: 176 reviews; ****: 1615 reviews;  With Context: 436;  With Image: 196;  With Media: 202;  Local Review: 1958; ",https://shopee.vn/shop/224077100,https://shopee.ph/p-i.34273908.5016679590,"https://cf.shopee.vn/file/912ad3a84fcb6eb6249a8a26feac6aa7,https://cf.shopee.vn/file/06ee4b194005fa518d0294c4cb14d498,https://cf.shopee.vn/file/8886839f37ad8ce02defbd54afdcc418",
4,,r*****8,"2021-02-16 11:06:56",5,0,5,0,"Good quality,well packed,napakaganda in person ang slingbag nato mukhang mamahalin,ang cute at tsaka simple lang ang kanyang coin purse sobrang liit,pero okay lang naman,may binigay lang si seller na kulay na mali brown pero black lang binigay niya😢pero okay lang naman atles pangregalo lang naman,
https://cf.shopee.vn/file/fdf59ac02f141c0bab98f8cf7be13373
https://cf.shopee.vn/file/fdf59ac02f141c0bab98f8cf7be13373","BROWN ",no,ph,yes,https://cf.shopee.vn/file/fdf59ac02f141c0bab98f8cf7be13373,,"Rating Total: 1958; No Stars: 39 reviews; *: 29 reviews; **: 99 reviews; ***: 176 reviews; ****: 1615 reviews;  With Context: 436;  With Image: 196;  With Media: 202;  Local Review: 1958; ",https://shopee.vn/shop/259878386,https://shopee.ph/p-i.34273908.5016679590,https://cf.shopee.vn/file/fdf59ac02f141c0bab98f8cf7be13373,
5,,k*****s,"2021-05-11 07:47:14",5,0,5,0,"Tama ang kulay tas ang bilis pang ma ship kaya mabilis din dumating
https://cf.shopee.vn/file/fa69201b64eb16d667b3848618dbcca6
https://cf.shopee.vn/file/fa69201b64eb16d667b3848618dbcca6","BROWN   y092",no,ph,yes,https://cf.shopee.vn/file/fa69201b64eb16d667b3848618dbcca6,https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph_ce77ef38-0425-4a66-8e34-3015b373c83b_000015.default.mp4,"Rating Total: 1958; No Stars: 39 reviews; *: 29 reviews; **: 99 reviews; ***: 176 reviews; ****: 1615 reviews;  With Context: 436;  With Image: 196;  With Media: 202;  Local Review: 1958; ",https://shopee.vn/shop/370499256,https://shopee.ph/p-i.34273908.5016679590,https://cf.shopee.vn/file/fa69201b64eb16d667b3848618dbcca6,https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph_ce77ef38-0425-4a66-8e34-3015b373c83b_000015.default.mp4
6,,,"2021-05-31 22:29:00",5,0,5,0,"mganda at mkapal sya worht it na sa murang halaga. thank you shoppe at thank you sau seller tama lht ng color walang damage at well pack pa .thank you din kay kuya raider kht umuulan nag dlver tlga sya.😊👍","BROWN   y092",no,ph,no,,,"Rating Total: 1958; No Stars: 39 reviews; *: 29 reviews; **: 99 reviews; ***: 176 reviews; ****: 1615 reviews;  With Context: 436;  With Image: 196;  With Media: 202;  Local Review: 1958; ",https://shopee.vn/shop/289738194,https://shopee.ph/p-i.34273908.5016679590,,
7,,rhosiepicarabubo,"2021-06-05 06:50:41",5,0,5,0,"ThAnk you shopEe..... ThAnk you seller... Sa maaus at sAktong items nA binigAy  niYo... At talagAng balot nA balot .. ThAnk u seller... ThAnk you din kAy kuyA dilivery boy... NA nAghihintAy... ThAnk you po ulit... 😊😊😊🌺😊
https://cf.shopee.vn/file/571bad7b29b740faf3d9ef2df923a36a
https://cf.shopee.vn/file/3126a36c84ffab923da8cf273b09ca33
https://cf.shopee.vn/file/181b471b8bc51021c69b009e54bd1a6a
https://cf.shopee.vn/file/736c3ccab88f88f8432ca99810e425a4
https://cf.shopee.vn/file/571bad7b29b740faf3d9ef2df923a36a
https://cf.shopee.vn/file/3126a36c84ffab923da8cf273b09ca33
https://cf.shopee.vn/file/181b471b8bc51021c69b009e54bd1a6a
https://cf.shopee.vn/file/736c3ccab88f88f8432ca99810e425a4","RED   y092",no,ph,yes,"https://cf.shopee.vn/file/571bad7b29b740faf3d9ef2df923a36a, https://cf.shopee.vn/file/3126a36c84ffab923da8cf273b09ca33, https://cf.shopee.vn/file/181b471b8bc51021c69b009e54bd1a6a, https://cf.shopee.vn/file/736c3ccab88f88f8432ca99810e425a4",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph_e2658d2f-8ebe-40e8-b87c-3828cd4dde09_000018.default.mp4,"Rating Total: 1958; No Stars: 39 reviews; *: 29 reviews; **: 99 reviews; ***: 176 reviews; ****: 1615 reviews;  With Context: 436;  With Image: 196;  With Media: 202;  Local Review: 1958; ",https://shopee.vn/shop/150925974,https://shopee.ph/p-i.34273908.5016679590,"https://cf.shopee.vn/file/571bad7b29b740faf3d9ef2df923a36a,https://cf.shopee.vn/file/3126a36c84ffab923da8cf273b09ca33,https://cf.shopee.vn/file/181b471b8bc51021c69b009e54bd1a6a,https://cf.shopee.vn/file/736c3ccab88f88f8432ca99810e425a4",https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph_e2658d2f-8ebe-40e8-b87c-3828cd4dde09_000018.default.mp4
8,,christinejorgebagay,"2021-06-10 07:34:12",5,0,5,0,"ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !! ty seller !!","GREY y092",no,ph,no,,,"Rating Total: 1958; No Stars: 39 reviews; *: 29 reviews; **: 99 reviews; ***: 176 reviews; ****: 1615 reviews;  With Context: 436;  With Image: 196;  With Media: 202;  Local Review: 1958; ",https://shopee.vn/shop/76022527,https://shopee.ph/p-i.34273908.5016679590,,
9,,,"2021-06-14 11:13:32",5,0,5,0,"Maganda ang kulay swak sa mga dala kong bimpo, cp charger at wallet tuwing ako ay maglabada. Kaya lang may mga lawit na sinulid
https://cf.shopee.vn/file/72197cfd51348c856e9b0f45d4a89fdd
https://cf.shopee.vn/file/72197cfd51348c856e9b0f45d4a89fdd","PINK  y092",no,ph,yes,https://cf.shopee.vn/file/72197cfd51348c856e9b0f45d4a89fdd,,"Rating Total: 1958; No Stars: 39 reviews; *: 29 reviews; **: 99 reviews; ***: 176 reviews; ****: 1615 reviews;  With Context: 436;  With Image: 196;  With Media: 202;  Local Review: 1958; ",https://shopee.vn/shop/268776452,https://shopee.ph/p-i.34273908.5016679590,https://cf.shopee.vn/file/72197cfd51348c856e9b0f45d4a89fdd,
10,,masflores,"2021-06-14 12:26:08",2,5,1,3,"Sadly sa 3 item ito Isa ang medyo damage may sira sana nakita ng seller b4 nai deliver, any way try to fix it na lang but delivery good ito lang talaga downside 😔
https://cf.shopee.vn/file/db83b26c53a96afead58d3f6753af4d3
https://cf.shopee.vn/file/db83b26c53a96afead58d3f6753af4d3","BROWN   y092",no,ph,yes,https://cf.shopee.vn/file/db83b26c53a96afead58d3f6753af4d3,,"Rating Total: 1958; No Stars: 39 reviews; *: 29 reviews; **: 99 reviews; ***: 176 reviews; ****: 1615 reviews;  With Context: 436;  With Image: 196;  With Media: 202;  Local Review: 1958; ",https://shopee.vn/shop/98728091,https://shopee.ph/p-i.34273908.5016679590,https://cf.shopee.vn/file/db83b26c53a96afead58d3f6753af4d3,
