,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,a*****a,"2023-07-07 13:34:23",5,5,5,5,"Performance:10/10
Quality:10/10
Suitability:10/10","cream cone",no,ph,no,,,"Rating Total: 755; No Stars: 10 reviews; *: 8 reviews; **: 18 reviews; ***: 61 reviews; ****: 658 reviews;  With Context: 114;  With Image: 83;  With Media: 84;  Local Review: 755; ",https://shopee.vn/shop/75714316,https://shopee.ph/p-i.991635618.22671552659,,
2,,j*****s,"2023-07-10 11:46:55",4,5,4,5,"there is a deform in one of the lolli but the rest are in good quality",lollipop,no,ph,no,,,"Rating Total: 755; No Stars: 10 reviews; *: 8 reviews; **: 18 reviews; ***: 61 reviews; ****: 658 reviews;  With Context: 114;  With Image: 83;  With Media: 84;  Local Review: 755; ",https://shopee.vn/shop/73788973,https://shopee.ph/p-i.991635618.22671552659,,
3,,bhell08pirida,"2023-07-18 07:54:11",5,5,5,5,"
https://cf.shopee.vn/file/ph-11134103-7qul2-ljchdplj9jdoc1
https://cf.shopee.vn/file/ph-11134103-7qul2-ljchdplj9jdoc1",lollipop,no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qul2-ljchdplj9jdoc1,,"Rating Total: 755; No Stars: 10 reviews; *: 8 reviews; **: 18 reviews; ***: 61 reviews; ****: 658 reviews;  With Context: 114;  With Image: 83;  With Media: 84;  Local Review: 755; ",https://shopee.vn/shop/474513638,https://shopee.ph/p-i.991635618.22671552659,https://cf.shopee.vn/file/ph-11134103-7qul2-ljchdplj9jdoc1,
4,,jingjean5,"2023-07-20 22:20:57",5,5,5,5,"
https://cf.shopee.vn/file/ph-11134103-7qukw-ljg728onbgnaf1
https://cf.shopee.vn/file/ph-11134103-7qukw-ljg728onbgnaf1","cream cone",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qukw-ljg728onbgnaf1,,"Rating Total: 755; No Stars: 10 reviews; *: 8 reviews; **: 18 reviews; ***: 61 reviews; ****: 658 reviews;  With Context: 114;  With Image: 83;  With Media: 84;  Local Review: 755; ",https://shopee.vn/shop/266999774,https://shopee.ph/p-i.991635618.22671552659,https://cf.shopee.vn/file/ph-11134103-7qukw-ljg728onbgnaf1,
5,,h*****o,"2023-07-23 03:26:30",4,4,4,4,"Cute nice maganda okay ok for gift regalo sa kids at bata and adults salamat thank you seller maayos ang balot walang sira or damages
https://cf.shopee.vn/file/ph-11134103-7qul5-ljjcjm5t68wf8a
https://cf.shopee.vn/file/ph-11134103-7qul5-ljjcjm5t68wf8a",doughnut,no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qul5-ljjcjm5t68wf8a,https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnl-ljjcpzpt4o0f3b.16000461690082770.mp4,"Rating Total: 755; No Stars: 10 reviews; *: 8 reviews; **: 18 reviews; ***: 61 reviews; ****: 658 reviews;  With Context: 114;  With Image: 83;  With Media: 84;  Local Review: 755; ",https://shopee.vn/shop/437302715,https://shopee.ph/p-i.991635618.22671552659,https://cf.shopee.vn/file/ph-11134103-7qul5-ljjcjm5t68wf8a,https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnl-ljjcpzpt4o0f3b.16000461690082770.mp4
6,,janmedash,"2023-08-01 06:24:56",5,5,5,5,"Thank you seller sa mga item na magaganda at gusto ng mga anak q magagamit na nla ngayong pasukan, thank you sa rider na kapitbahay nmin, till next time god bless.
https://cf.shopee.vn/file/ph-11134103-7qul9-ljwd1nugbatrdf
https://cf.shopee.vn/file/ph-11134103-7qul9-ljwd1nugbatrdf",lollipop,no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qul9-ljwd1nugbatrdf,https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrno-ljwdjml1m6wc74.16000461690871081.mp4,"Rating Total: 755; No Stars: 10 reviews; *: 8 reviews; **: 18 reviews; ***: 61 reviews; ****: 658 reviews;  With Context: 114;  With Image: 83;  With Media: 84;  Local Review: 755; ",https://shopee.vn/shop/47562078,https://shopee.ph/p-i.991635618.22671552659,https://cf.shopee.vn/file/ph-11134103-7qul9-ljwd1nugbatrdf,https://down-cvs-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrno-ljwdjml1m6wc74.16000461690871081.mp4
7,,jajaaseniero,"2023-08-03 08:41:48",5,5,5,5,"Suitability:10
Quality:10
Performance:10

Malapit na bday ng anak ko. Ito yung ilalagay ko na cake toppers. Ang ganda ng erasers. Magugustuhan ng anak ko ito.
https://cf.shopee.vn/file/ph-11134103-7qul0-ljzd5jtczqlofe
https://cf.shopee.vn/file/ph-11134103-7qul0-ljzd5jtczqlofe",lollipop,no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qul0-ljzd5jtczqlofe,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnk-ljzd5unh4v4fce.default.mp4,"Rating Total: 755; No Stars: 10 reviews; *: 8 reviews; **: 18 reviews; ***: 61 reviews; ****: 658 reviews;  With Context: 114;  With Image: 83;  With Media: 84;  Local Review: 755; ",https://shopee.vn/shop/108374099,https://shopee.ph/p-i.991635618.22671552659,https://cf.shopee.vn/file/ph-11134103-7qul0-ljzd5jtczqlofe,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnk-ljzd5unh4v4fce.default.mp4
8,,makielovestrisha03,"2023-08-04 06:40:09",5,5,5,5,"What you see is what you get. Sulit","cream cone",no,ph,no,,,"Rating Total: 755; No Stars: 10 reviews; *: 8 reviews; **: 18 reviews; ***: 61 reviews; ****: 658 reviews;  With Context: 114;  With Image: 83;  With Media: 84;  Local Review: 755; ",https://shopee.vn/shop/679431388,https://shopee.ph/p-i.991635618.22671552659,,
9,,1samantha8,"2023-08-07 04:38:32",5,5,5,5,"Performance:Good
Suitability:Good
Quality:Good",lollipop,no,ph,no,,,"Rating Total: 755; No Stars: 10 reviews; *: 8 reviews; **: 18 reviews; ***: 61 reviews; ****: 658 reviews;  With Context: 114;  With Image: 83;  With Media: 84;  Local Review: 755; ",https://shopee.vn/shop/334768661,https://shopee.ph/p-i.991635618.22671552659,,
10,,mrgss,"2023-08-09 06:18:08",5,5,5,5,"Performance:very well
Suitability:good for students
Quality:nice

Thank you so much seller ang cute po ng mga eraser will buy again soon po God bless affordable din
https://cf.shopee.vn/file/ph-11134103-7qul8-lk7rn4vk27aka9
https://cf.shopee.vn/file/ph-11134103-7qul8-lk7rn4vk27aka9","cream cone",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7qul8-lk7rn4vk27aka9,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnm-lk7sc3coz62473.default.mp4,"Rating Total: 755; No Stars: 10 reviews; *: 8 reviews; **: 18 reviews; ***: 61 reviews; ****: 658 reviews;  With Context: 114;  With Image: 83;  With Media: 84;  Local Review: 755; ",https://shopee.vn/shop/334537512,https://shopee.ph/p-i.991635618.22671552659,https://cf.shopee.vn/file/ph-11134103-7qul8-lk7rn4vk27aka9,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6jrnm-lk7sc3coz62473.default.mp4
