,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,y*****9,"2023-08-10 13:32:47",5,5,5,5,"Keycaps with a Touch of Elegance: The keycaps on this keyboard exude an elegant and premium feel, adding a touch of sophistication to my typing experience. Truly a standout feature.
https://cf.shopee.vn/file/my-11134103-7quky-lk9n8ov8yl8505
https://cf.shopee.vn/file/my-11134103-7qul7-lk9n8ouo4hrp88
https://cf.shopee.vn/file/my-11134103-7qukz-lk9n8ov83oqdf5
https://cf.shopee.vn/file/my-11134103-7quky-lk9n8ov8j4z925
https://cf.shopee.vn/file/my-11134103-7quky-lk9n8ov8yl8505
https://cf.shopee.vn/file/my-11134103-7qul7-lk9n8ouo4hrp88
https://cf.shopee.vn/file/my-11134103-7qukz-lk9n8ov83oqdf5
https://cf.shopee.vn/file/my-11134103-7quky-lk9n8ov8j4z925","Pure white characters,box-packed",yes,my,yes,"https://cf.shopee.vn/file/my-11134103-7quky-lk9n8ov8yl8505, https://cf.shopee.vn/file/my-11134103-7qul7-lk9n8ouo4hrp88, https://cf.shopee.vn/file/my-11134103-7qukz-lk9n8ov83oqdf5, https://cf.shopee.vn/file/my-11134103-7quky-lk9n8ov8j4z925",,"Rating Total: 166; No Stars: 3 reviews; *: 0 reviews; **: 6 reviews; ***: 21 reviews; ****: 136 reviews;  With Context: 52;  With Image: 52;  With Media: 52;  Local Review: 94;  Oversea Review: 72; ",https://shopee.vn/shop/312923766,https://shopee.ph/p-i.290382727.22973019629,"https://cf.shopee.vn/file/my-11134103-7quky-lk9n8ov8yl8505,https://cf.shopee.vn/file/my-11134103-7qul7-lk9n8ouo4hrp88,https://cf.shopee.vn/file/my-11134103-7qukz-lk9n8ov83oqdf5,https://cf.shopee.vn/file/my-11134103-7quky-lk9n8ov8j4z925",
2,,w*****9,"2023-08-12 12:30:45",5,5,5,5,"Performance:yet to try

Received in good condition.  This time we received the white colour that we ordered.  Thank you seller.  Hopefully its works well.
https://cf.shopee.vn/file/my-11134103-7qul4-lkcfr67sjdo5ff
https://cf.shopee.vn/file/my-11134103-7qul4-lkcfr67sjdo5ff","Pure white characters,Bagged",yes,my,yes,https://cf.shopee.vn/file/my-11134103-7qul4-lkcfr67sjdo5ff,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/my-11110103-6jrnn-lkcfrfc171f9cb.default.mp4,"Rating Total: 166; No Stars: 3 reviews; *: 0 reviews; **: 6 reviews; ***: 21 reviews; ****: 136 reviews;  With Context: 52;  With Image: 52;  With Media: 52;  Local Review: 94;  Oversea Review: 72; ",https://shopee.vn/shop/115359049,https://shopee.ph/p-i.290382727.22973019629,https://cf.shopee.vn/file/my-11134103-7qul4-lkcfr67sjdo5ff,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/my-11110103-6jrnn-lkcfrfc171f9cb.default.mp4
3,,g*****9,"2023-08-18 09:15:12",5,5,5,5,,"Pure black characters,box-packed",no,ph,no,,,"Rating Total: 166; No Stars: 3 reviews; *: 0 reviews; **: 6 reviews; ***: 21 reviews; ****: 136 reviews;  With Context: 52;  With Image: 52;  With Media: 52;  Local Review: 94;  Oversea Review: 72; ",https://shopee.vn/shop/65853088,https://shopee.ph/p-i.300548865.22973019625,,
4,,eaminoj,"2023-08-19 02:27:08",5,5,5,5,,"Pure black characters,box-packed",no,ph,no,,,"Rating Total: 166; No Stars: 3 reviews; *: 0 reviews; **: 6 reviews; ***: 21 reviews; ****: 136 reviews;  With Context: 52;  With Image: 52;  With Media: 52;  Local Review: 94;  Oversea Review: 72; ",https://shopee.vn/shop/75527773,https://shopee.ph/p-i.300548865.22973019625,,
5,,audryan,"2023-08-20 09:14:52",5,5,5,5,"The keycap feels smooth
The font is bad and a bit difficult to understand but not that big of a problem
https://cf.shopee.vn/file/my-11134103-7r98o-lknnswgpnxm5cb
https://cf.shopee.vn/file/my-11134103-7r98o-lknnswgppc6l5b
https://cf.shopee.vn/file/my-11134103-7r98o-lknnswgpnxm5cb
https://cf.shopee.vn/file/my-11134103-7r98o-lknnswgppc6l5b","Pure black characters,Bagged",yes,my,yes,"https://cf.shopee.vn/file/my-11134103-7r98o-lknnswgpnxm5cb, https://cf.shopee.vn/file/my-11134103-7r98o-lknnswgppc6l5b",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/my-11110103-6ke14-lknnu8xoqdd2a5.default.mp4,"Rating Total: 166; No Stars: 3 reviews; *: 0 reviews; **: 6 reviews; ***: 21 reviews; ****: 136 reviews;  With Context: 52;  With Image: 52;  With Media: 52;  Local Review: 94;  Oversea Review: 72; ",https://shopee.vn/shop/305035692,https://shopee.ph/p-i.290382727.22973019629,"https://cf.shopee.vn/file/my-11134103-7r98o-lknnswgpnxm5cb,https://cf.shopee.vn/file/my-11134103-7r98o-lknnswgppc6l5b",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/my-11110103-6ke14-lknnu8xoqdd2a5.default.mp4
6,,squishyjennies,"2023-08-20 11:01:53",5,5,5,5,,"Pure black characters,plastic Bag packed",no,ph,no,,,"Rating Total: 166; No Stars: 3 reviews; *: 0 reviews; **: 6 reviews; ***: 21 reviews; ****: 136 reviews;  With Context: 52;  With Image: 52;  With Media: 52;  Local Review: 94;  Oversea Review: 72; ",https://shopee.vn/shop/125640413,https://shopee.ph/p-i.300548865.22973019625,,
7,,k*****5,"2023-08-22 06:48:03",5,5,5,5,"Product Quality:good

Thank you sa free ktt red wine switches. ❤️
https://cf.shopee.vn/file/ph-11134103-7r98o-lkqdd0flxmdb81
https://cf.shopee.vn/file/ph-11134103-7r98o-lkqdd0flxmdb81","Pure white characters,Bagged",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7r98o-lkqdd0flxmdb81,,"Rating Total: 166; No Stars: 3 reviews; *: 0 reviews; **: 6 reviews; ***: 21 reviews; ****: 136 reviews;  With Context: 52;  With Image: 52;  With Media: 52;  Local Review: 94;  Oversea Review: 72; ",https://shopee.vn/shop/65442669,https://shopee.ph/p-i.300548865.22973019625,https://cf.shopee.vn/file/ph-11134103-7r98o-lkqdd0flxmdb81,
8,,dream_s,"2023-08-24 05:58:38",5,0,5,0,"Waited quite a while for the product, but it's okay. The product arrived intact, not damaged, damaged, works normally. fast delivery
https://cf.shopee.vn/file/th-11134103-7r98o-lkt6e3ekhxlm51
https://cf.shopee.vn/file/th-11134103-7r98o-lkt6e3ekhxlm51","ซากุระ ตัวละครสีชมพู,บรรจุถุง",yes,th,yes,https://cf.shopee.vn/file/th-11134103-7r98o-lkt6e3ekhxlm51,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/th-11110103-6ke14-lkt6epvnkj16cf.default.mp4,"Rating Total: 166; No Stars: 3 reviews; *: 0 reviews; **: 6 reviews; ***: 21 reviews; ****: 136 reviews;  With Context: 52;  With Image: 52;  With Media: 52;  Local Review: 94;  Oversea Review: 72; ",https://shopee.vn/shop/65941005,https://shopee.ph/p-i.308471853.22973019635,https://cf.shopee.vn/file/th-11134103-7r98o-lkt6e3ekhxlm51,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/th-11110103-6ke14-lkt6epvnkj16cf.default.mp4
9,,arolemaiden87,"2023-08-25 06:11:22",5,5,5,5,"Performance:little bulky

Little bulky compare to my original tecware phantom keycaps.. but not too bad. A good buy. And good services from seller.
https://cf.shopee.vn/file/my-11134103-7r98o-lkum8x3n271z99
https://cf.shopee.vn/file/my-11134103-7r98o-lkum8x3n271z99","Pure black characters,plastic Bag packed",yes,my,yes,https://cf.shopee.vn/file/my-11134103-7r98o-lkum8x3n271z99,,"Rating Total: 166; No Stars: 3 reviews; *: 0 reviews; **: 6 reviews; ***: 21 reviews; ****: 136 reviews;  With Context: 52;  With Image: 52;  With Media: 52;  Local Review: 94;  Oversea Review: 72; ",https://shopee.vn/shop/62347286,https://shopee.ph/p-i.290382727.22973019629,https://cf.shopee.vn/file/my-11134103-7r98o-lkum8x3n271z99,
10,,vincentsevilla16,"2023-08-28 10:55:43",5,5,5,5,,"Pure white characters,plastic Bag packed",no,ph,no,,,"Rating Total: 166; No Stars: 3 reviews; *: 0 reviews; **: 6 reviews; ***: 21 reviews; ****: 136 reviews;  With Context: 52;  With Image: 52;  With Media: 52;  Local Review: 94;  Oversea Review: 72; ",https://shopee.vn/shop/67735297,https://shopee.ph/p-i.300548865.22973019625,,
