,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,blasted231,"2022-10-08 07:27:04",5,5,5,5,"Goods din ang quality walang dead pixel. Maganda din ng color quality na binibigay. Wala pa akong gpu kaya hindi ko pa macheck kung 165hz.

Edit: ngayon ko lang napansin, may 2 dead pixel magkahiwalay. Hindi naman big issue sakin kaya buy at your own risk mga pre.
https://cf.shopee.vn/file/ph-11134103-22100-9yqsulmgteiv1e
https://cf.shopee.vn/file/ph-11134103-22100-9yqsulmgteiv1e",,no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22100-9yqsulmgteiv1e,,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/92161902,https://shopee.ph/p-i.77398075.18747252596,https://cf.shopee.vn/file/ph-11134103-22100-9yqsulmgteiv1e,
2,,slrsankat,"2022-10-17 04:28:25",5,5,5,5,"Monitor tends to be hot near its power plug. Overall: refresh rate 121hz using hdmi and 165hz dp.",,no,ph,no,,,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/96450986,https://shopee.ph/p-i.77398075.18747252596,,
3,,t*****r,"2022-10-17 05:38:03",5,5,5,5,"Need to upgrade my GPU to reach 165Hz hehehe. Overall, always nice transaction with EasyPC. Never pa ako nabigo ni EasyPC sa mga bang for the buck products! Well done! Might order again.

Update: Use cable for DisplayPort, it will hit the 165Hz refresh rate instantly! XD
https://cf.shopee.vn/file/ph-11134103-22100-9ejtmrg1jriv42
https://cf.shopee.vn/file/ph-11134103-22100-9ejtmrg1jriv42",,no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22100-9ejtmrg1jriv42,,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/122522622,https://shopee.ph/p-i.77398075.18747252596,https://cf.shopee.vn/file/ph-11134103-22100-9ejtmrg1jriv42,
4,,gracearias,"2022-10-18 13:00:48",5,5,5,5,"Ganda ng quality, its been a week bago ako magrate and ganda naman ng performance nito...160hz nga pag dp ang ginamit na cable...napaWOW ang anak ko dito, mura na at 160hz pa...sana lang magtagal....thank you so much easypc for a smooth transaction 🥰👍👍👍
https://cf.shopee.vn/file/ph-11134103-22100-9mx0mk0wetiv4b
https://cf.shopee.vn/file/ph-11134103-22100-cqmez8v2etiv25
https://cf.shopee.vn/file/ph-11134103-22100-9mx0mk0wetiv4b
https://cf.shopee.vn/file/ph-11134103-22100-cqmez8v2etiv25",,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22100-9mx0mk0wetiv4b, https://cf.shopee.vn/file/ph-11134103-22100-cqmez8v2etiv25",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_fd73bac6-d27f-45ec-9c05-810abbb62074_000087.12000051666097679.mp4,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/25635048,https://shopee.ph/p-i.77398075.18747252596,"https://cf.shopee.vn/file/ph-11134103-22100-9mx0mk0wetiv4b,https://cf.shopee.vn/file/ph-11134103-22100-cqmez8v2etiv25",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_fd73bac6-d27f-45ec-9c05-810abbb62074_000087.12000051666097679.mp4
5,,nickiesilao09,"2022-10-19 00:32:43",5,5,5,5,"
https://cf.shopee.vn/file/ph-11134103-22100-k5alyblx4tivc4
https://cf.shopee.vn/file/ph-11134103-22100-1c5leblx4tiv6a
https://cf.shopee.vn/file/ph-11134103-22100-onoj3clx4tiv00
https://cf.shopee.vn/file/ph-11134103-22100-l5alyblx4tiv25
https://cf.shopee.vn/file/ph-11134103-22100-2opmyblx4tiv86
https://cf.shopee.vn/file/ph-11134103-22100-k5alyblx4tivc4
https://cf.shopee.vn/file/ph-11134103-22100-1c5leblx4tiv6a
https://cf.shopee.vn/file/ph-11134103-22100-onoj3clx4tiv00
https://cf.shopee.vn/file/ph-11134103-22100-l5alyblx4tiv25
https://cf.shopee.vn/file/ph-11134103-22100-2opmyblx4tiv86",,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22100-k5alyblx4tivc4, https://cf.shopee.vn/file/ph-11134103-22100-1c5leblx4tiv6a, https://cf.shopee.vn/file/ph-11134103-22100-onoj3clx4tiv00, https://cf.shopee.vn/file/ph-11134103-22100-l5alyblx4tiv25, https://cf.shopee.vn/file/ph-11134103-22100-2opmyblx4tiv86",,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/54876202,https://shopee.ph/p-i.77398075.18747252596,"https://cf.shopee.vn/file/ph-11134103-22100-k5alyblx4tivc4,https://cf.shopee.vn/file/ph-11134103-22100-1c5leblx4tiv6a,https://cf.shopee.vn/file/ph-11134103-22100-onoj3clx4tiv00,https://cf.shopee.vn/file/ph-11134103-22100-l5alyblx4tiv25,https://cf.shopee.vn/file/ph-11134103-22100-2opmyblx4tiv86",
6,,hiedmark,"2022-10-19 05:09:23",5,5,5,5,"Legit 165hz gamit kasama na Display port, may kasamang HDMI kaso hanggang 120 hz lang and compatible sa Gsync/Amd sync. Meron din syang free screw driver pang kabit sa mga screws. Took 4 days to deliver sulit bili ko nag test ako ng dead pixel wala naman prob. Update ko pag may prob eto lang muna.
https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-g2hlrokpduive0
https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-0y3xyhmpduivba
https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-l1vy8iopduivf6
https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-ghq72qppduive6
https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-sewabfusduivf8
https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-g2hlrokpduive0
https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-0y3xyhmpduivba
https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-l1vy8iopduivf6
https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-ghq72qppduive6
https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-sewabfusduivf8",,no,ph,yes,"https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-g2hlrokpduive0, https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-0y3xyhmpduivba, https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-l1vy8iopduivf6, https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-ghq72qppduive6, https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-sewabfusduivf8",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_f93b3725-fc0a-4534-81f5-38ede1611dac_000087.12000051666156019.mp4,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/265957549,https://shopee.ph/p-i.77398075.18747252596,"https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-g2hlrokpduive0,https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-0y3xyhmpduivba,https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-l1vy8iopduivf6,https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-ghq72qppduive6,https://cf.shopee.vn/file/https://img.sp.mms.shopee.sg/ph-11134103-22100-sewabfusduivf8",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_f93b3725-fc0a-4534-81f5-38ede1611dac_000087.12000051666156019.mp4
7,,camilonitafan,"2022-10-21 12:08:41",4,5,4,5,"Performance:Pretty amazing
Best Feature:The graphics
Product Quality:9/10 (hdmi provided doesnt work)

The item holds up to the specs given. No complaints at all but will still hold on to the warranty just in case. Loving the product up to par with most gaming monitor. Only reason i gave it a 4 star was because of the hdmi.",,no,ph,no,,,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/110331290,https://shopee.ph/p-i.77398075.18747252596,,
8,,aisendevera,"2022-10-24 00:26:10",5,5,5,5,"Best Feature:165hz
Product Quality:10/10
Performance:10/10

After 2 weeks review.
No dead pixel. Di naman sya namamatay matay or nag flicker. Di nga lang corner to corner yung display nya. Meron din syang audio jack


Package includes:
Screw driver
Hdmi cable
DP cable
1 year warranty

Overall 10/10 for budget gaming monitor
https://cf.shopee.vn/file/ph-11134103-22100-hltbfozf91iv5a
https://cf.shopee.vn/file/ph-11134103-22100-ciouuxpj91iv50
https://cf.shopee.vn/file/ph-11134103-22100-hltbfozf91iv5a
https://cf.shopee.vn/file/ph-11134103-22100-ciouuxpj91iv50",,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22100-hltbfozf91iv5a, https://cf.shopee.vn/file/ph-11134103-22100-ciouuxpj91iv50",,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/320327817,https://shopee.ph/p-i.77398075.18747252596,"https://cf.shopee.vn/file/ph-11134103-22100-hltbfozf91iv5a,https://cf.shopee.vn/file/ph-11134103-22100-ciouuxpj91iv50",
9,,l*****2,"2022-10-26 16:52:04",5,4,5,5,"all in working order. no dead pixels or stuttering. hope it lasts.
https://cf.shopee.vn/file/ph-11134103-22100-c3j9xo0i35ive4
https://cf.shopee.vn/file/ph-11134103-22100-c3j9xo0i35ive4",,no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22100-c3j9xo0i35ive4,,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/197973042,https://shopee.ph/p-i.77398075.18747252596,https://cf.shopee.vn/file/ph-11134103-22100-c3j9xo0i35ive4,
10,,lm_ortiz,"2022-10-26 21:23:01",5,5,5,5,"Performance:High performance maganda sya
Best Feature:Madaming mode ung monitor
Product Quality:10/10

First monitor hahah",,no,ph,no,,,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/112828317,https://shopee.ph/p-i.77398075.18747252596,,
11,,gio_mkk,"2022-10-29 00:32:08",5,5,5,5,"Mabilis dumating and safe na safe yung item nung dineliver. Na try ko narin gamitin. Goods na goods. Legit 165hz. Thank you EasyPC. 🔥
https://cf.shopee.vn/file/ph-11134103-22100-di5edadod9ivf5
https://cf.shopee.vn/file/ph-11134103-22100-0qo26vrod9iv0b
https://cf.shopee.vn/file/ph-11134103-22100-di5edadod9ivf5
https://cf.shopee.vn/file/ph-11134103-22100-0qo26vrod9iv0b",,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22100-di5edadod9ivf5, https://cf.shopee.vn/file/ph-11134103-22100-0qo26vrod9iv0b",,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/33171786,https://shopee.ph/p-i.77398075.18747252596,"https://cf.shopee.vn/file/ph-11134103-22100-di5edadod9ivf5,https://cf.shopee.vn/file/ph-11134103-22100-0qo26vrod9iv0b",
12,,kimcabais123,"2022-10-30 10:32:37",5,5,5,5,"Goods naman xa tsaka safe Yung packaging👍
https://cf.shopee.vn/file/ph-11134103-22100-s72xezzieajvfd
https://cf.shopee.vn/file/ph-11134103-22100-s72xezzieajvfd",,no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22100-s72xezzieajvfd,,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/289670122,https://shopee.ph/p-i.77398075.18747252596,https://cf.shopee.vn/file/ph-11134103-22100-s72xezzieajvfd,
13,,anochsards,"2022-10-30 11:29:51",5,5,5,5,"Performance:WORKING
Best Feature:165Hz
Product Quality:great

Easy pc more power to you!",,no,ph,no,,,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/112343218,https://shopee.ph/p-i.77398075.18747252596,,
14,,miguelapuhin,"2022-10-30 14:31:09",5,3,5,5,"Product Quality:Fantastic
Performance:Great
Best Feature:Lots
https://cf.shopee.vn/file/ph-11134103-22100-w0e0bm01majv35
https://cf.shopee.vn/file/ph-11134103-22100-w0e0bm01majv35",,no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22100-w0e0bm01majv35,,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/23372510,https://shopee.ph/p-i.77398075.18747252596,https://cf.shopee.vn/file/ph-11134103-22100-w0e0bm01majv35,
15,,j*****y,"2022-11-02 06:30:54",3,4,3,5,"Performance:Flickering when game runs on High-Ultra settings",,no,ph,no,,,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/100916367,https://shopee.ph/p-i.77398075.18747252596,,
16,,g*****2,"2022-11-02 13:54:48",5,5,5,5,"Product Quality:goods
Performance:goods
Best Feature:165hz
https://cf.shopee.vn/file/ph-11134103-22110-o8bjhhdwvejv02
https://cf.shopee.vn/file/ph-11134103-22110-5zsnfedwvejv4b
https://cf.shopee.vn/file/ph-11134103-22110-o8bjhhdwvejv02
https://cf.shopee.vn/file/ph-11134103-22110-5zsnfedwvejv4b",,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22110-o8bjhhdwvejv02, https://cf.shopee.vn/file/ph-11134103-22110-5zsnfedwvejv4b",,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/319783729,https://shopee.ph/p-i.77398075.18747252596,"https://cf.shopee.vn/file/ph-11134103-22110-o8bjhhdwvejv02,https://cf.shopee.vn/file/ph-11134103-22110-5zsnfedwvejv4b",
17,,monsieurmagz,"2022-11-03 08:44:31",5,5,5,5,"Performance:165hz out of the box
Best Feature:IPS Panel and Joystick settings control
Product Quality:10/0 monitor stand

sobrang sulit and gsync compatible din hndi nag flicker
https://cf.shopee.vn/file/ph-11134103-22110-9yen72q8zfjvd8
https://cf.shopee.vn/file/ph-11134103-22110-9yen72q8zfjvd8",,no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22110-9yen72q8zfjvd8,,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/252554875,https://shopee.ph/p-i.77398075.18747252596,https://cf.shopee.vn/file/ph-11134103-22110-9yen72q8zfjvd8,
18,,macmaclozano0048,"2022-11-04 05:06:50",5,5,5,5,"Best Feature:good
Product Quality:very good
Performance:good
https://cf.shopee.vn/file/ph-11134103-22110-25pdonlt8gjvd9
https://cf.shopee.vn/file/ph-11134103-22110-15pdonlt8gjv38
https://cf.shopee.vn/file/ph-11134103-22110-25pdonlt8gjvd9
https://cf.shopee.vn/file/ph-11134103-22110-15pdonlt8gjv38",,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22110-25pdonlt8gjvd9, https://cf.shopee.vn/file/ph-11134103-22110-15pdonlt8gjv38",,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/144922819,https://shopee.ph/p-i.77398075.18747252596,"https://cf.shopee.vn/file/ph-11134103-22110-25pdonlt8gjvd9,https://cf.shopee.vn/file/ph-11134103-22110-15pdonlt8gjv38",
19,,ksss29,"2022-11-05 05:00:32",5,5,5,5,"so far so good complete freebies when i received the item. hoping that this item will last long.
https://cf.shopee.vn/file/ph-11134103-22110-lspco08ymijv8b
https://cf.shopee.vn/file/ph-11134103-22110-lkj3tngzmijvec
https://cf.shopee.vn/file/ph-11134103-22110-lspco08ymijv8b
https://cf.shopee.vn/file/ph-11134103-22110-lkj3tngzmijvec",,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22110-lspco08ymijv8b, https://cf.shopee.vn/file/ph-11134103-22110-lkj3tngzmijvec",,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/192171604,https://shopee.ph/p-i.77398075.18747252596,"https://cf.shopee.vn/file/ph-11134103-22110-lspco08ymijv8b,https://cf.shopee.vn/file/ph-11134103-22110-lkj3tngzmijvec",
20,,ricacao,"2022-11-06 11:40:13",5,5,5,5,"Excellent quality very accommodating seller well-packaged item shipped immediately Will order again! Thank you po!!
https://cf.shopee.vn/file/ph-11134103-22110-sybcup9jgkjv22
https://cf.shopee.vn/file/ph-11134103-22110-g6wnqmrkgkjv90
https://cf.shopee.vn/file/ph-11134103-22110-hxqxf0algkjv13
https://cf.shopee.vn/file/ph-11134103-22110-sybcup9jgkjv22
https://cf.shopee.vn/file/ph-11134103-22110-g6wnqmrkgkjv90
https://cf.shopee.vn/file/ph-11134103-22110-hxqxf0algkjv13",,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22110-sybcup9jgkjv22, https://cf.shopee.vn/file/ph-11134103-22110-g6wnqmrkgkjv90, https://cf.shopee.vn/file/ph-11134103-22110-hxqxf0algkjv13",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_bea4c27e-e0fa-4029-9a4a-9acfdb9989f2_000088.default.mp4,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/1897172,https://shopee.ph/p-i.77398075.18747252596,"https://cf.shopee.vn/file/ph-11134103-22110-sybcup9jgkjv22,https://cf.shopee.vn/file/ph-11134103-22110-g6wnqmrkgkjv90,https://cf.shopee.vn/file/ph-11134103-22110-hxqxf0algkjv13",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_bea4c27e-e0fa-4029-9a4a-9acfdb9989f2_000088.default.mp4
21,,h*****a,"2022-11-07 01:34:44",5,5,5,5,"Performance:good
Best Feature:affordable but good quality
Product Quality:good

Seller was responsive to my queries. No dead pixel. Hanggang 120hz lang keri since HDMI lang pero 
goods na din for gaming and editing.
https://cf.shopee.vn/file/ph-11134103-22110-wpr66lv00kjvb1
https://cf.shopee.vn/file/ph-11134103-22110-xpr66lv00kjv91
https://cf.shopee.vn/file/ph-11134103-22110-wpr66lv00kjvb1
https://cf.shopee.vn/file/ph-11134103-22110-xpr66lv00kjv91",,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22110-wpr66lv00kjvb1, https://cf.shopee.vn/file/ph-11134103-22110-xpr66lv00kjv91",https://down-tx-sg.vod.susercontent.com/c3/98934353/103/A3oxON=1ABxa2j4REYMIACc.mp4,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/38274614,https://shopee.ph/p-i.77398075.18747252596,"https://cf.shopee.vn/file/ph-11134103-22110-wpr66lv00kjvb1,https://cf.shopee.vn/file/ph-11134103-22110-xpr66lv00kjv91",https://down-tx-sg.vod.susercontent.com/c3/98934353/103/A3oxON=1ABxa2j4REYMIACc.mp4
22,,s*****l,"2022-11-11 01:25:04",5,5,5,5,"Responsive seller. Very satisfied! Thank you! 👍",,no,ph,no,,,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/124234489,https://shopee.ph/p-i.77398075.18747252596,,
23,,zeejay027,"2022-11-13 01:34:21",5,5,5,5,"I was really sad that I forgot to check if it has HDR but the quality of the graphics is good. Still a 5 star. I hope it will last.
https://cf.shopee.vn/file/ph-11134103-22110-2k32zrsoutjvce
https://cf.shopee.vn/file/ph-11134103-22110-zk32zrsoutjv24
https://cf.shopee.vn/file/ph-11134103-22110-b77wbvsoutjvb1
https://cf.shopee.vn/file/ph-11134103-22110-2k32zrsoutjvce
https://cf.shopee.vn/file/ph-11134103-22110-zk32zrsoutjv24
https://cf.shopee.vn/file/ph-11134103-22110-b77wbvsoutjvb1",,no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22110-2k32zrsoutjvce, https://cf.shopee.vn/file/ph-11134103-22110-zk32zrsoutjv24, https://cf.shopee.vn/file/ph-11134103-22110-b77wbvsoutjvb1",,"Rating Total: 404; No Stars: 6 reviews; *: 4 reviews; **: 4 reviews; ***: 21 reviews; ****: 369 reviews;  With Context: 128;  With Image: 88;  With Media: 92;  Local Review: 404; ",https://shopee.vn/shop/113100407,https://shopee.ph/p-i.77398075.18747252596,"https://cf.shopee.vn/file/ph-11134103-22110-2k32zrsoutjvce,https://cf.shopee.vn/file/ph-11134103-22110-zk32zrsoutjv24,https://cf.shopee.vn/file/ph-11134103-22110-b77wbvsoutjvb1",
