,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,chunjiy,"2022-07-21 11:39:07",5,0,5,0,"Left photo: with the product, right: my dog’s damaged paw :( love this product! Effective! It smells nice too. hope it continues to repair my dog’s dry paws.
https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-dxpq5uz8aafv74
https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-qa11hzy8aafv06
https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-dxpq5uz8aafv74
https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-qa11hzy8aafv06",,no,ph,yes,"https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-dxpq5uz8aafv74, https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-qa11hzy8aafv06",,"Rating Total: 407; No Stars: 4 reviews; *: 1 reviews; **: 10 reviews; ***: 28 reviews; ****: 364 reviews;  With Context: 76;  With Image: 51;  With Media: 54;  Local Review: 407; ",https://shopee.vn/shop/549270142,https://shopee.ph/p-i.405177462.16079001432,"https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-dxpq5uz8aafv74,https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-qa11hzy8aafv06",
2,,w*****y,"2022-07-21 11:48:20",5,0,5,0,"The item was securely packed and it had no damage when it arrived me. My dog love it. Thanks seller!
https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-u24kqdujbafv87
https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-lj9xyhvjbafv9c
https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-u24kqdujbafv87
https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-lj9xyhvjbafv9c",,no,ph,yes,"https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-u24kqdujbafv87, https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-lj9xyhvjbafv9c",,"Rating Total: 407; No Stars: 4 reviews; *: 1 reviews; **: 10 reviews; ***: 28 reviews; ****: 364 reviews;  With Context: 76;  With Image: 51;  With Media: 54;  Local Review: 407; ",https://shopee.vn/shop/549251243,https://shopee.ph/p-i.405177462.16079001432,"https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-u24kqdujbafv87,https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-lj9xyhvjbafv9c",
3,,haodehaoy,"2022-07-21 11:51:46",5,0,5,0,"been using this for the past few days on my doggos' paws, feel like their paws are in a much better state than before. will surely buy again
https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-bm71hreobafvfa
https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-u06vijfobafva7
https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-bm71hreobafvfa
https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-u06vijfobafva7",,no,ph,yes,"https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-bm71hreobafvfa, https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-u06vijfobafva7",,"Rating Total: 407; No Stars: 4 reviews; *: 1 reviews; **: 10 reviews; ***: 28 reviews; ****: 364 reviews;  With Context: 76;  With Image: 51;  With Media: 54;  Local Review: 407; ",https://shopee.vn/shop/549245624,https://shopee.ph/p-i.405177462.16079001432,"https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-bm71hreobafvfa,https://cf.shopee.vn/file/https://img.ws.mms.shopee.sg/ph-11134103-22070-u06vijfobafva7",
4,,c*****s,"2022-07-28 08:11:42",5,0,5,0,"Performance:great
Quality:amazing
Suitability:efficient

this will help my dog to have better paw texture. it is important for the dog because they have their sweat glands in their paw so make sure it is not dry.
https://cf.shopee.vn/file/ph-11134103-22070-478o5uw93jfvd8
https://cf.shopee.vn/file/ph-11134103-22070-478o5uw93jfvd8","Paw Balm 50g",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22070-478o5uw93jfvd8,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_87e7efe5-a1c6-400b-a5d4-fcbe78f9c607_000078.default.mp4,"Rating Total: 407; No Stars: 4 reviews; *: 1 reviews; **: 10 reviews; ***: 28 reviews; ****: 364 reviews;  With Context: 76;  With Image: 51;  With Media: 54;  Local Review: 407; ",https://shopee.vn/shop/129803487,https://shopee.ph/p-i.405177462.16079001432,https://cf.shopee.vn/file/ph-11134103-22070-478o5uw93jfvd8,https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph_87e7efe5-a1c6-400b-a5d4-fcbe78f9c607_000078.default.mp4
5,,lizoznola14,"2022-08-01 06:29:31",5,0,5,0,"Thank you shopee and thank you din kay seller.hindi ko pa na try pero sana effective sa furbaby ko..thank you din kay kay kuya na nagdeliver.god bless po sa inyo😊
https://cf.shopee.vn/file/ph-11134103-22080-0xrlhddcppfvab
https://cf.shopee.vn/file/ph-11134103-22080-0xrlhddcppfvab","Paw Balm 50g",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22080-0xrlhddcppfvab,https://down-tx-sg.vod.susercontent.com/c3/98934353/103/A3oxOFDsAIS1WmAJEQcDACY.mp4,"Rating Total: 407; No Stars: 4 reviews; *: 1 reviews; **: 10 reviews; ***: 28 reviews; ****: 364 reviews;  With Context: 76;  With Image: 51;  With Media: 54;  Local Review: 407; ",https://shopee.vn/shop/485168583,https://shopee.ph/p-i.405177462.16079001432,https://cf.shopee.vn/file/ph-11134103-22080-0xrlhddcppfvab,https://down-tx-sg.vod.susercontent.com/c3/98934353/103/A3oxOFDsAIS1WmAJEQcDACY.mp4
6,,chadtocart,"2022-08-01 13:37:02",3,0,3,0,"My dog's paws are drying. So I hope this balm helps. And I hope it really is lick free. Will edit my review after 1 week of using the balm.
https://cf.shopee.vn/file/ph-11134103-22080-uxk4c8ln5pfv2f
https://cf.shopee.vn/file/ph-11134103-22080-uxk4c8ln5pfv2f","Paw Balm 50g",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22080-uxk4c8ln5pfv2f,https://down-tx-sg.vod.susercontent.com/c3/98934353/103/A3oxOFdXAHQNeWYJERgBACY.mp4,"Rating Total: 407; No Stars: 4 reviews; *: 1 reviews; **: 10 reviews; ***: 28 reviews; ****: 364 reviews;  With Context: 76;  With Image: 51;  With Media: 54;  Local Review: 407; ",https://shopee.vn/shop/36804020,https://shopee.ph/p-i.405177462.16079001432,https://cf.shopee.vn/file/ph-11134103-22080-uxk4c8ln5pfv2f,https://down-tx-sg.vod.susercontent.com/c3/98934353/103/A3oxOFdXAHQNeWYJERgBACY.mp4
7,,tantuco17,"2022-08-15 14:15:36",5,0,5,0,"This is not the actual picture of the item just want to say thankful for the seller even no updates or picture of the item thank you so much for everything for the next order have a blessed day stay safe take care","Paw Balm 50g",no,ph,no,,,"Rating Total: 407; No Stars: 4 reviews; *: 1 reviews; **: 10 reviews; ***: 28 reviews; ****: 364 reviews;  With Context: 76;  With Image: 51;  With Media: 54;  Local Review: 407; ",https://shopee.vn/shop/31103840,https://shopee.ph/p-i.405177462.16079001432,,
8,,sherlynvingcoloreno,"2022-08-31 23:17:42",5,0,5,0,"Di masakit sa ilong yung amoy
https://cf.shopee.vn/file/ph-11134103-22090-k1nspicvixgvc9
https://cf.shopee.vn/file/ph-11134103-22090-k1nspicvixgvc9","Paw Balm 50g",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22090-k1nspicvixgvc9,,"Rating Total: 407; No Stars: 4 reviews; *: 1 reviews; **: 10 reviews; ***: 28 reviews; ****: 364 reviews;  With Context: 76;  With Image: 51;  With Media: 54;  Local Review: 407; ",https://shopee.vn/shop/79951207,https://shopee.ph/p-i.405177462.16079001432,https://cf.shopee.vn/file/ph-11134103-22090-k1nspicvixgvc9,
9,,c*****t,"2022-09-03 05:16:21",5,0,5,0,"Suitability:10
Performance:10
Quality:10

Smells nice..","Paw Balm 50g",no,ph,no,,,"Rating Total: 407; No Stars: 4 reviews; *: 1 reviews; **: 10 reviews; ***: 28 reviews; ****: 364 reviews;  With Context: 76;  With Image: 51;  With Media: 54;  Local Review: 407; ",https://shopee.vn/shop/844533814,https://shopee.ph/p-i.405177462.16079001432,,
10,,l*****a,"2022-09-06 06:29:48",5,0,5,0,"“As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.”
https://cf.shopee.vn/file/ph-11134103-22090-w2o4vie535gv2d
https://cf.shopee.vn/file/ph-11134103-22090-w2o4vie535gv2d","Paw Balm 50g",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22090-w2o4vie535gv2d,https://down-tx-sg.vod.susercontent.com/c3/98934353/103/A3oxOFKMAFAK60UMET4DACc.mp4,"Rating Total: 407; No Stars: 4 reviews; *: 1 reviews; **: 10 reviews; ***: 28 reviews; ****: 364 reviews;  With Context: 76;  With Image: 51;  With Media: 54;  Local Review: 407; ",https://shopee.vn/shop/12713664,https://shopee.ph/p-i.405177462.16079001432,https://cf.shopee.vn/file/ph-11134103-22090-w2o4vie535gv2d,https://down-tx-sg.vod.susercontent.com/c3/98934353/103/A3oxOFKMAFAK60UMET4DACc.mp4
