,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,,"2022-09-13 01:07:09",5,0,5,0,"
https://cf.shopee.vn/file/ph-11134103-22090-wpbdtw8drehv51
https://cf.shopee.vn/file/ph-11134103-22090-ghicdx8drehvd6
https://cf.shopee.vn/file/ph-11134103-22090-wpbdtw8drehv51
https://cf.shopee.vn/file/ph-11134103-22090-ghicdx8drehvd6","Mint Green",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22090-wpbdtw8drehv51, https://cf.shopee.vn/file/ph-11134103-22090-ghicdx8drehvd6",,"Rating Total: 216; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 3 reviews; ****: 213 reviews;  With Context: 67;  With Image: 58;  With Media: 62;  Local Review: 216; ",https://shopee.vn/shop/501747193,https://shopee.ph/p-i.163390835.20532353622,"https://cf.shopee.vn/file/ph-11134103-22090-wpbdtw8drehv51,https://cf.shopee.vn/file/ph-11134103-22090-ghicdx8drehvd6",
2,,a*****l,"2022-09-16 10:18:52",5,5,5,5,"Appearance:sleek and pretty
Quality:high quality
Suitability:100/100

My most awaited purchase🌟 To everyone who wants to have a complete self-defense set, order na kayo here~ the colors are very pretty din and what you see is what you definitely get!

Thank you💗 stay safe everyone~
https://cf.shopee.vn/file/ph-11134103-22090-yky7g085kjhvc6
https://cf.shopee.vn/file/ph-11134103-22090-z1ylt3b6kjhva1
https://cf.shopee.vn/file/ph-11134103-22090-yky7g085kjhvc6
https://cf.shopee.vn/file/ph-11134103-22090-z1ylt3b6kjhva1","Blue Butterfly",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22090-yky7g085kjhvc6, https://cf.shopee.vn/file/ph-11134103-22090-z1ylt3b6kjhva1",https://down-cvs-sg.vod.susercontent.com/c3/98934353/103/A3oxOPTfAKSeNRcNEVQJACc.mp4,"Rating Total: 216; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 3 reviews; ****: 213 reviews;  With Context: 67;  With Image: 58;  With Media: 62;  Local Review: 216; ",https://shopee.vn/shop/258036912,https://shopee.ph/p-i.163390835.20532353622,"https://cf.shopee.vn/file/ph-11134103-22090-yky7g085kjhvc6,https://cf.shopee.vn/file/ph-11134103-22090-z1ylt3b6kjhva1",https://down-cvs-sg.vod.susercontent.com/c3/98934353/103/A3oxOPTfAKSeNRcNEVQJACc.mp4
3,,t*****e,"2022-09-21 02:55:26",5,5,5,5,"Appearance:it's pretty— barbie pink 🫶
Quality:it's finee
Suitability:vv girlyy

tysm sa seller! there was a lot going on but it arrived a day before my sister's bday. currently waiting for more stocks para naman sakin hehehe tysm po! bili na kayoooo dali
https://cf.shopee.vn/file/ph-11134103-22090-qe98c9n70phvf8
https://cf.shopee.vn/file/ph-11134103-22090-qe98c9n70phvf8","Pink Checkered",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22090-qe98c9n70phvf8,,"Rating Total: 216; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 3 reviews; ****: 213 reviews;  With Context: 67;  With Image: 58;  With Media: 62;  Local Review: 216; ",https://shopee.vn/shop/396218014,https://shopee.ph/p-i.163390835.20532353622,https://cf.shopee.vn/file/ph-11134103-22090-qe98c9n70phvf8,
4,,leureese24,"2022-09-21 10:24:07",5,5,5,5,"Maganda super
https://cf.shopee.vn/file/ph-11134103-22090-rqx4vfubqqhv08
https://cf.shopee.vn/file/ph-11134103-22090-rqx4vfubqqhv08","Pink Marble",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22090-rqx4vfubqqhv08,,"Rating Total: 216; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 3 reviews; ****: 213 reviews;  With Context: 67;  With Image: 58;  With Media: 62;  Local Review: 216; ",https://shopee.vn/shop/280276169,https://shopee.ph/p-i.163390835.20532353622,https://cf.shopee.vn/file/ph-11134103-22090-rqx4vfubqqhv08,
5,,anyalovesonlineshopping,"2022-09-21 11:42:10",5,5,5,5,"Worth the wait🥰🥰🥰","Pink Marble",no,ph,no,,,"Rating Total: 216; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 3 reviews; ****: 213 reviews;  With Context: 67;  With Image: 58;  With Media: 62;  Local Review: 216; ",https://shopee.vn/shop/98916745,https://shopee.ph/p-i.163390835.20532353622,,
6,,j*****o,"2022-09-24 06:31:10",5,5,5,5,"Appearance:10/10
Quality:10/10
Suitability:10/10

Worth the wait, fave color ko toh, thank you din seller for the freebie 💖💖💖
https://cf.shopee.vn/file/ph-11134103-22090-8ub3kf42ruhvff
https://cf.shopee.vn/file/ph-11134103-22090-7ub3kf42ruhvc3
https://cf.shopee.vn/file/ph-11134103-22090-8ub3kf42ruhvff
https://cf.shopee.vn/file/ph-11134103-22090-7ub3kf42ruhvc3","Purple Marble",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22090-8ub3kf42ruhvff, https://cf.shopee.vn/file/ph-11134103-22090-7ub3kf42ruhvc3",,"Rating Total: 216; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 3 reviews; ****: 213 reviews;  With Context: 67;  With Image: 58;  With Media: 62;  Local Review: 216; ",https://shopee.vn/shop/53316316,https://shopee.ph/p-i.163390835.20532353622,"https://cf.shopee.vn/file/ph-11134103-22090-8ub3kf42ruhvff,https://cf.shopee.vn/file/ph-11134103-22090-7ub3kf42ruhvc3",
7,,krishellefranchettecamero,"2022-09-24 10:36:02",5,5,5,5,"Appearance:10/10 what you see is what you get
Quality:10/10
Suitability:10/10

This really is worth the wait. My dad and boyfriend feel kampante now that i have this. Ang bait ni seller. Keep doing what you do ang hirap maka hanap nito sa pinas (as in complete set) God bless po","Pink Checkered",no,ph,yes,,https://down-cvs-sg.vod.susercontent.com/c3/98934353/103/A3oxOFYOAAgTQLwNETcJACY.mp4,"Rating Total: 216; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 3 reviews; ****: 213 reviews;  With Context: 67;  With Image: 58;  With Media: 62;  Local Review: 216; ",https://shopee.vn/shop/159036580,https://shopee.ph/p-i.163390835.20532353622,,https://down-cvs-sg.vod.susercontent.com/c3/98934353/103/A3oxOFYOAAgTQLwNETcJACY.mp4
8,,t*****e,"2022-09-24 14:09:05",5,5,5,5,"Appearance:i love it, super mee!
Quality:💯
Suitability:💯

omg I've been waiting for this set! finallyy! this is my second purchase from them and yes go girl slay 💅🏼 buy it na super worth it tho di ko pa nattry dalhin sa mall but they say pwede naman daw so go wag na mag alinlangan! + mabait si seller, very approachable and responsive! tysm poo 🫶
https://cf.shopee.vn/file/ph-11134103-22090-34vo6end9uhvba
https://cf.shopee.vn/file/ph-11134103-22090-34vo6end9uhvba","Pink Marble",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-22090-34vo6end9uhvba,https://down-cvs-sg.vod.susercontent.com/c3/98934353/103/A3oxOKsjAJRYSb8NET4FACc.mp4,"Rating Total: 216; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 3 reviews; ****: 213 reviews;  With Context: 67;  With Image: 58;  With Media: 62;  Local Review: 216; ",https://shopee.vn/shop/396218014,https://shopee.ph/p-i.163390835.20532353622,https://cf.shopee.vn/file/ph-11134103-22090-34vo6end9uhvba,https://down-cvs-sg.vod.susercontent.com/c3/98934353/103/A3oxOKsjAJRYSb8NET4FACc.mp4
9,,c*****x,"2022-09-25 17:39:12",5,5,5,5,"Appearance:very cute
Quality:high quality
Suitability:very

It is very helpful and very high quality too and very cute","Purple Marble",no,ph,no,,,"Rating Total: 216; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 3 reviews; ****: 213 reviews;  With Context: 67;  With Image: 58;  With Media: 62;  Local Review: 216; ",https://shopee.vn/shop/49062182,https://shopee.ph/p-i.163390835.20532353622,,
10,,marychrispanopio,"2022-09-27 01:22:15",5,5,5,5,"Suitability:100%
Appearance:Beautiful inside and out
Quality:Nice quality

Maraming salamat po! Worth the wait💗
https://cf.shopee.vn/file/ph-11134103-22090-8yyaeze0qyhv85
https://cf.shopee.vn/file/ph-11134103-22090-a77gj7d0qyhvec
https://cf.shopee.vn/file/ph-11134103-22090-mjdceze0qyhvae
https://cf.shopee.vn/file/ph-11134103-22090-7yyaeze0qyhvfc
https://cf.shopee.vn/file/ph-11134103-22090-b77gj7d0qyhv2d
https://cf.shopee.vn/file/ph-11134103-22090-8yyaeze0qyhv85
https://cf.shopee.vn/file/ph-11134103-22090-a77gj7d0qyhvec
https://cf.shopee.vn/file/ph-11134103-22090-mjdceze0qyhvae
https://cf.shopee.vn/file/ph-11134103-22090-7yyaeze0qyhvfc
https://cf.shopee.vn/file/ph-11134103-22090-b77gj7d0qyhv2d","Hot Pink",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-22090-8yyaeze0qyhv85, https://cf.shopee.vn/file/ph-11134103-22090-a77gj7d0qyhvec, https://cf.shopee.vn/file/ph-11134103-22090-mjdceze0qyhvae, https://cf.shopee.vn/file/ph-11134103-22090-7yyaeze0qyhvfc, https://cf.shopee.vn/file/ph-11134103-22090-b77gj7d0qyhv2d",,"Rating Total: 216; No Stars: 0 reviews; *: 0 reviews; **: 0 reviews; ***: 3 reviews; ****: 213 reviews;  With Context: 67;  With Image: 58;  With Media: 62;  Local Review: 216; ",https://shopee.vn/shop/202654069,https://shopee.ph/p-i.163390835.20532353622,"https://cf.shopee.vn/file/ph-11134103-22090-8yyaeze0qyhv85,https://cf.shopee.vn/file/ph-11134103-22090-a77gj7d0qyhvec,https://cf.shopee.vn/file/ph-11134103-22090-mjdceze0qyhvae,https://cf.shopee.vn/file/ph-11134103-22090-7yyaeze0qyhvfc,https://cf.shopee.vn/file/ph-11134103-22090-b77gj7d0qyhv2d",
