,,Author,Date,Rating,"Rating Delivery Service","Rating Product Quality","Rating Seller Service",Review,Version,"Oversea Shopping",Region,"Picture included",Photos,Videos,"Profile Url","Review Url"
1,,jaenelyncarpio,"2023-11-09 08:53:50",5,5,5,5,"Appearance:10/10
Suitability:10/10
Quality:10/10

What you see is what you get! Seller was able to send pics of the product before shipping out, and the product came in one piece. Items are sealed. Delivered properly as well. Will definitely buy again soon...
https://cf.shopee.vn/file/ph-11134103-7r991-lnv922s58uje94
https://cf.shopee.vn/file/ph-11134103-7r98s-lnv922pxc3h6da
https://cf.shopee.vn/file/ph-11134103-7r98o-lnv922s58uw952
https://cf.shopee.vn/file/ph-11134103-7r991-lnv922s58uje94
https://cf.shopee.vn/file/ph-11134103-7r98s-lnv922pxc3h6da
https://cf.shopee.vn/file/ph-11134103-7r98o-lnv922s58uw952","Grey handle",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r991-lnv922s58uje94, https://cf.shopee.vn/file/ph-11134103-7r98s-lnv922pxc3h6da, https://cf.shopee.vn/file/ph-11134103-7r98o-lnv922s58uw952",,"Rating Total: 274; No Stars: 7 reviews; *: 2 reviews; **: 1 reviews; ***: 19 reviews; ****: 245 reviews;  With Context: 59;  With Image: 48;  With Media: 49;  Local Review: 274; ",https://shopee.vn/shop/94074462,https://shopee.ph/p-i.898396017.23384575165,"https://cf.shopee.vn/file/ph-11134103-7r991-lnv922s58uje94,https://cf.shopee.vn/file/ph-11134103-7r98s-lnv922pxc3h6da,https://cf.shopee.vn/file/ph-11134103-7r98o-lnv922s58uw952",
2,,arkie0110,"2023-11-10 06:06:16",5,5,5,5,"Quality:Great
Suitability:Great
Appearance:Superb

Hello,

The product received was correct on what was ordered. Colors are correct. Quality was great and looks durable.


Delivery time was pretty fast knowing it comes from overseas.
I will definitely order again.
https://cf.shopee.vn/file/ph-11134103-7r98w-lnwifno5k3ft7b
https://cf.shopee.vn/file/ph-11134103-7r98t-lnwifno5lhne69
https://cf.shopee.vn/file/ph-11134103-7r98w-lnwifno5k3ft7b
https://cf.shopee.vn/file/ph-11134103-7r98t-lnwifno5lhne69","🔥Purple boot",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r98w-lnwifno5k3ft7b, https://cf.shopee.vn/file/ph-11134103-7r98t-lnwifno5lhne69",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke17-lnwifxqstendaa.default.mp4,"Rating Total: 274; No Stars: 7 reviews; *: 2 reviews; **: 1 reviews; ***: 19 reviews; ****: 245 reviews;  With Context: 59;  With Image: 48;  With Media: 49;  Local Review: 274; ",https://shopee.vn/shop/529125314,https://shopee.ph/p-i.898396017.23384575165,"https://cf.shopee.vn/file/ph-11134103-7r98w-lnwifno5k3ft7b,https://cf.shopee.vn/file/ph-11134103-7r98t-lnwifno5lhne69",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke17-lnwifxqstendaa.default.mp4
3,,arbiel.alorro,"2023-11-13 11:57:38",5,5,5,5,"Appearance:nice
Quality:good
Suitability:good
https://cf.shopee.vn/file/ph-11134103-7r98q-lo156dsk4h2he8
https://cf.shopee.vn/file/ph-11134103-7r98q-lo156dsk4h2he8","2PCS-Green Set",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7r98q-lo156dsk4h2he8,,"Rating Total: 274; No Stars: 7 reviews; *: 2 reviews; **: 1 reviews; ***: 19 reviews; ****: 245 reviews;  With Context: 59;  With Image: 48;  With Media: 49;  Local Review: 274; ",https://shopee.vn/shop/84164353,https://shopee.ph/p-i.898396017.23384575165,https://cf.shopee.vn/file/ph-11134103-7r98q-lo156dsk4h2he8,
4,,katfeliciano,"2023-11-13 21:43:18",5,5,5,5,,"🔥2PCS-Purple Set",no,ph,no,,,"Rating Total: 274; No Stars: 7 reviews; *: 2 reviews; **: 1 reviews; ***: 19 reviews; ****: 245 reviews;  With Context: 59;  With Image: 48;  With Media: 49;  Local Review: 274; ",https://shopee.vn/shop/75953824,https://shopee.ph/p-i.898396017.23384575165,,
5,,w*****a,"2023-11-17 05:58:40",5,4,5,5,,"2PCS-Green Set",no,ph,no,,,"Rating Total: 274; No Stars: 7 reviews; *: 2 reviews; **: 1 reviews; ***: 19 reviews; ****: 245 reviews;  With Context: 59;  With Image: 48;  With Media: 49;  Local Review: 274; ",https://shopee.vn/shop/97479461,https://shopee.ph/p-i.898396017.23384575165,,
6,,charissemarieabalos,"2023-11-17 10:53:03",5,5,5,5,,"🔥2PCS-Pink Set",no,ph,no,,,"Rating Total: 274; No Stars: 7 reviews; *: 2 reviews; **: 1 reviews; ***: 19 reviews; ****: 245 reviews;  With Context: 59;  With Image: 48;  With Media: 49;  Local Review: 274; ",https://shopee.vn/shop/5207605,https://shopee.ph/p-i.898396017.23384575165,,
7,,d*****3,"2023-11-19 11:06:48",5,5,5,5,"Suitability:fits my tumbler perfectly
Appearance:off white but it's okay
Quality:silicone quality

Legit tyeso product finally i saw a color white thank you so much seller
https://cf.shopee.vn/file/ph-11134103-7r98u-lo9nmmuyzuxm9b
https://cf.shopee.vn/file/ph-11134103-7r98t-lo9nmmuz19i2ef
https://cf.shopee.vn/file/ph-11134103-7r98u-lo9nmmuyzuxm9b
https://cf.shopee.vn/file/ph-11134103-7r98t-lo9nmmuz19i2ef","🔥White Boot",no,ph,yes,"https://cf.shopee.vn/file/ph-11134103-7r98u-lo9nmmuyzuxm9b, https://cf.shopee.vn/file/ph-11134103-7r98t-lo9nmmuz19i2ef",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke18-lo9nnbnkpn4q77.default.mp4,"Rating Total: 274; No Stars: 7 reviews; *: 2 reviews; **: 1 reviews; ***: 19 reviews; ****: 245 reviews;  With Context: 59;  With Image: 48;  With Media: 49;  Local Review: 274; ",https://shopee.vn/shop/271746209,https://shopee.ph/p-i.898396017.23384575165,"https://cf.shopee.vn/file/ph-11134103-7r98u-lo9nmmuyzuxm9b,https://cf.shopee.vn/file/ph-11134103-7r98t-lo9nmmuz19i2ef",https://down-tx-sg.vod.susercontent.com/api/v4/11110103/mms/ph-11110103-6ke18-lo9nnbnkpn4q77.default.mp4
8,,s*****o,"2023-11-20 13:36:08",5,5,5,5,"i like the accessories! if your tyeso tumbler is like the one na nasa picture, saktong-sakto yung boot, yung sa baba, pero para sa handle hindi. masyadong malaki yung isang accessory para sa gan'yang tumbler. i like the quality and easy to wash. 10/10 and i recommend.
https://cf.shopee.vn/file/ph-11134103-7r98r-lob88pyp9r0r6f
https://cf.shopee.vn/file/ph-11134103-7r98r-lob88pyp9r0r6f","2PCS-Black Set",no,ph,yes,https://cf.shopee.vn/file/ph-11134103-7r98r-lob88pyp9r0r6f,,"Rating Total: 274; No Stars: 7 reviews; *: 2 reviews; **: 1 reviews; ***: 19 reviews; ****: 245 reviews;  With Context: 59;  With Image: 48;  With Media: 49;  Local Review: 274; ",https://shopee.vn/shop/207403847,https://shopee.ph/p-i.898396017.23384575165,https://cf.shopee.vn/file/ph-11134103-7r98r-lob88pyp9r0r6f,
9,,dariadejesusemata,"2023-11-21 10:02:20",5,4,5,5,"Ganda..love it 
Liget tyeso","🔥2PCS-Purple Set",no,ph,no,,,"Rating Total: 274; No Stars: 7 reviews; *: 2 reviews; **: 1 reviews; ***: 19 reviews; ****: 245 reviews;  With Context: 59;  With Image: 48;  With Media: 49;  Local Review: 274; ",https://shopee.vn/shop/93176709,https://shopee.ph/p-i.898396017.23384575165,,
10,,j*****3,"2023-11-25 15:17:50",5,5,5,5,,"🔥2PCS-Pink Set",no,ph,no,,,"Rating Total: 274; No Stars: 7 reviews; *: 2 reviews; **: 1 reviews; ***: 19 reviews; ****: 245 reviews;  With Context: 59;  With Image: 48;  With Media: 49;  Local Review: 274; ",https://shopee.vn/shop/95806811,https://shopee.ph/p-i.898396017.23384575165,,
